bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear27,2,1,319.81920674030823,32.87601709453261,5,2,1,"(672, 405)",1,"(546, 450)",1,"(639, 303)",1,"(492, 339)",1,"(588, 165)",0,0,1,"(519, 48)",1,"(435, 45)","(651, 579)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,2,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 579)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,3,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 579)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,4,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 579)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,5,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 579)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,6,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 594)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,7,319.81920674030823,32.87601709453261,4,2,1,"(672, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 594)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,8,319.81920674030823,32.87601709453261,4,2,1,"(666, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 594)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,9,319.81920674030823,32.87601709453261,4,2,1,"(666, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,0,0,1,"(519, 48)",1,"(435, 45)","(651, 594)","(555, 288)",0.0,0.0,"(477, 54)"
Bear27,2,10,319.81920674030823,32.87601709453261,5,2,1,"(666, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,1,"(465, 288)",1,"(519, 63)",1,"(441, 54)","(651, 594)","(555, 288)",0.0,0.0,"(468, 57)"
Bear27,2,11,319.81920674030823,32.87601709453261,5,2,1,"(666, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,1,"(465, 288)",1,"(519, 63)",1,"(441, 54)","(651, 594)","(555, 288)",0.0,0.0,"(468, 57)"
Bear27,2,12,319.81920674030823,32.87601709453261,5,2,1,"(666, 405)",1,"(543, 462)",1,"(639, 303)",1,"(492, 339)",0,0,1,"(465, 288)",1,"(519, 63)",1,"(441, 54)","(645, 597)","(555, 288)",0.0,0.0,"(474, 60)"
