bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear5,1,300,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1173, 1689)",1,"(942, 1701)",1,"(1167, 1749)",1,"(891, 1899)",0,0,"(1326, 1377)","(1104, 1641)",0.0,0.0,"(942, 1914)"
Bear5,1,301,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1173, 1689)",1,"(942, 1701)",1,"(1167, 1749)",1,"(891, 1899)",0,0,"(1326, 1377)","(1104, 1641)",0.0,0.0,"(942, 1914)"
Bear5,1,302,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1167, 1749)",1,"(885, 1890)",0,0,"(1329, 1353)","(1104, 1641)",0.0,0.0,"(945, 1896)"
Bear5,1,303,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1167, 1749)",1,"(885, 1890)",0,0,"(1329, 1353)","(1104, 1641)",6.80312428226914,340.156214113457,"(945, 1896)"
Bear5,1,304,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1353)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,305,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1353)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,306,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1332)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,307,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1332)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,308,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1332)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,309,378.7388018146544,42.163876719296105,5,1,1,"(1155, 1452)",0,0,1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1332)","(1107, 1629)",0.0,0.0,"(945, 1896)"
Bear5,1,310,378.7388018146544,42.163876719296105,6,1,1,"(1155, 1452)",1,"(1323, 1473)",1,"(1068, 1506)",1,"(1179, 1683)",1,"(942, 1683)",1,"(1158, 1752)",1,"(885, 1890)",0,0,"(1329, 1332)","(1107, 1629)",0.0,0.0,"(957, 1884)"
