bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear2,1,300,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",0,0,1,"(1383, 1071)",1,"(1257, 936)",1,"(1476, 1047)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",0.0,0.0,"(1599, 891)"
Bear2,1,301,404.5428531070596,40.58463379162119,4,1,1,"(1266, 1155)",0,0,0,0,1,"(1257, 936)",1,"(1476, 1047)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",0.0,0.0,"(1599, 891)"
Bear2,1,302,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1476, 1047)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",0.0,0.0,"(1599, 891)"
Bear2,1,303,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1476, 1047)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",0.0,0.0,"(1599, 891)"
Bear2,1,304,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",0.0,0.0,"(1599, 891)"
Bear2,1,305,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1041, 1236)","(1338, 1011)",5.949159604515583,297.4579802257792,"(1599, 891)"
Bear2,1,306,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1065, 1269)","(1329, 1017)",0.0,0.0,"(1599, 891)"
Bear2,1,307,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1065, 1269)","(1329, 1017)",0.0,0.0,"(1599, 891)"
Bear2,1,308,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1065, 1269)","(1329, 1017)",10.435516278555653,521.7758139277827,"(1599, 891)"
Bear2,1,309,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1668, 936)",0,0,"(1065, 1269)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,310,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1656, 939)",0,0,"(1065, 1269)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,311,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",0,0,1,"(1257, 936)",1,"(1458, 1050)",1,"(1392, 840)",1,"(1656, 939)",0,0,"(1065, 1269)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,312,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1257, 936)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1065, 1269)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,313,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1257, 936)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1092, 1266)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,314,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1257, 936)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1092, 1266)","(1311, 1023)",0.0,0.0,"(1599, 891)"
Bear2,1,315,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1257, 936)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1092, 1266)","(1311, 1023)",0.0,0.0,"(1575, 894)"
Bear2,1,316,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1257, 936)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1092, 1266)","(1311, 1023)",0.0,0.0,"(1575, 894)"
Bear2,1,317,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1242, 954)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1092, 1266)","(1311, 1023)",0.0,0.0,"(1575, 894)"
Bear2,1,318,404.5428531070596,40.58463379162119,6,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1287, 1146)",1,"(1242, 954)",1,"(1458, 1050)",1,"(1374, 861)",1,"(1656, 939)",0,0,"(1080, 1275)","(1311, 1023)",0.0,0.0,"(1575, 894)"
Bear2,1,319,404.5428531070596,40.58463379162119,5,1,1,"(1266, 1155)",1,"(1098, 1098)",1,"(1305, 1134)",1,"(1242, 954)",1,"(1458, 1050)",0,0,1,"(1656, 939)",0,0,"(1080, 1275)","(1311, 1023)",13.302725284692608,665.1362642346304,"(1575, 894)"
Bear2,1,320,404.5428531070596,40.58463379162119,5,1,1,"(1263, 1170)",1,"(1098, 1098)",1,"(1305, 1134)",1,"(1242, 954)",1,"(1458, 1050)",0,0,1,"(1644, 942)",0,0,"(1080, 1275)","(1290, 1035)",0.0,0.0,"(1575, 894)"
Bear2,1,321,404.5428531070596,40.58463379162119,5,1,1,"(1263, 1170)",1,"(1098, 1098)",1,"(1305, 1134)",1,"(1242, 954)",1,"(1458, 1050)",0,0,1,"(1644, 942)",0,0,"(1080, 1275)","(1290, 1035)",0.0,0.0,"(1575, 894)"
Bear2,1,322,404.5428531070596,40.58463379162119,5,0,1,"(1263, 1170)",1,"(1098, 1098)",1,"(1305, 1134)",1,"(1242, 954)",1,"(1446, 1068)",0,0,0,0,0,0,"(1053, 1278)","(1290, 1035)",0.0,0.0,"(1575, 894)"
Bear2,1,323,404.5428531070596,40.58463379162119,5,0,1,"(1263, 1170)",1,"(1098, 1098)",1,"(1305, 1134)",1,"(1242, 954)",1,"(1446, 1068)",0,0,0,0,0,0,"(1053, 1278)","(1290, 1035)",0.0,0.0,"(1575, 894)"
