bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear22,1,1,383.78021053722927,48.19017015948377,5,2,1,"(774, 960)",1,"(774, 1101)",1,"(690, 903)",1,"(612, 1053)",1,"(543, 828)",0,0,1,"(372, 759)",1,"(312, 837)","(960, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,2,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(690, 903)",1,"(612, 1053)",0,0,0,0,1,"(372, 759)",1,"(312, 837)","(960, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,3,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(690, 903)",1,"(612, 1053)",0,0,0,0,1,"(372, 759)",1,"(312, 837)","(960, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,4,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(690, 903)",1,"(612, 1053)",0,0,0,0,1,"(372, 759)",1,"(312, 837)","(960, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,5,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,6,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,7,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,8,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,9,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(339, 810)"
Bear22,1,10,383.78021053722927,48.19017015948377,4,2,1,"(774, 960)",1,"(774, 1101)",1,"(699, 912)",1,"(612, 1053)",0,0,0,0,1,"(372, 771)",1,"(312, 837)","(966, 1089)","(639, 978)",0.0,0.0,"(345, 813)"
