bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
Bear16,1,1,305.7624077613205,34.33427587702994,4,1,1,"(918, 1533)",1,"(1038, 1602)",1,"(840, 1587)",1,"(921, 1710)",0,0,0,0,0,0,1,"(756, 1926)","(1080, 1473)","(873, 1671)",0.0,0.0,"(726, 1908)"
Bear16,1,2,305.7624077613205,34.33427587702994,5,1,1,"(915, 1536)",1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",0,0,1,"(756, 1926)","(1080, 1473)","(873, 1671)",0.0,0.0,"(726, 1908)"
Bear16,1,3,305.7624077613205,34.33427587702994,4,2,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1881)",1,"(756, 1926)","(1080, 1473)","(873, 1671)",0.0,0.0,"(726, 1908)"
Bear16,1,4,305.7624077613205,34.33427587702994,4,2,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1881)",1,"(756, 1926)","(1080, 1473)","(873, 1671)",0.0,0.0,"(735, 1896)"
Bear16,1,5,305.7624077613205,34.33427587702994,4,2,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1881)",1,"(756, 1926)","(1080, 1473)","(873, 1671)",19.937025856431045,996.8512928215523,"(735, 1896)"
Bear16,1,6,305.7624077613205,34.33427587702994,4,2,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1881)",1,"(756, 1926)","(1101, 1470)","(888, 1638)",0.0,0.0,"(735, 1896)"
Bear16,1,7,305.7624077613205,34.33427587702994,4,1,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1881)",0,0,"(1101, 1470)","(888, 1638)",0.0,0.0,"(735, 1896)"
Bear16,1,8,305.7624077613205,34.33427587702994,4,1,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(912, 1761)",1,"(696, 1863)",0,0,"(1101, 1470)","(888, 1638)",0.0,0.0,"(738, 1869)"
Bear16,1,9,305.7624077613205,34.33427587702994,4,1,0,0,1,"(1038, 1602)",1,"(840, 1587)",0,0,1,"(774, 1662)",1,"(909, 1740)",1,"(696, 1863)",0,0,"(1128, 1467)","(888, 1638)",0.0,0.0,"(738, 1869)"
Bear16,1,10,305.7624077613205,34.33427587702994,4,1,0,0,1,"(1038, 1602)",1,"(846, 1566)",0,0,1,"(774, 1662)",1,"(909, 1740)",1,"(696, 1863)",0,0,"(1128, 1467)","(888, 1638)",0.0,0.0,"(738, 1869)"
Bear16,1,11,305.7624077613205,34.33427587702994,4,1,0,0,1,"(1038, 1602)",1,"(846, 1566)",0,0,1,"(774, 1662)",1,"(909, 1740)",1,"(696, 1863)",0,0,"(1128, 1467)","(888, 1638)",0.0,0.0,"(738, 1869)"
