Track,Slice,X,Y,Distance,Velocity,Pixel Value
0,1,,,,,
0,104,,,,,
1,1,723,1560,-1,-1,96
1,1,1251,1257,78.53,39.265,92
1,3,750,1467,-1,-1,113
1,3,801,1422,8.774,4.387,110
2,1,873,1530,-1,-1,108
2,2,864,1530,1.161,0.581,116
2,3,864,1530,0,0,116
2,4,864,1527,0.387,0.193,92
2,5,864,1527,0,0,88
2,6,864,1527,0,0,87
2,7,864,1527,0,0,89
2,8,864,1527,0,0,85
2,9,858,1530,0.865,0.433,109
2,10,858,1530,0,0,109
2,11,858,1530,0,0,115
2,12,858,1530,0,0,141
2,13,846,1539,1.935,0.967,127
2,14,846,1539,0,0,144
2,15,843,1545,0.865,0.433,133
2,16,843,1545,0,0,131
2,17,843,1548,0.387,0.193,139
2,18,843,1548,0,0,137
2,19,843,1548,0,0,146
2,20,843,1548,0,0,120
2,30,714,1626,19.447,9.723,124
2,31,714,1626,0,0,124
2,32,714,1629,0.387,0.193,111
2,33,714,1638,1.161,0.581,100
2,34,717,1641,0.547,0.274,93
2,35,717,1644,0.387,0.193,103
2,36,717,1650,0.774,0.387,90
2,37,714,1653,0.547,0.274,133
2,38,714,1650,0.387,0.193,108
2,39,714,1647,0.387,0.193,94
2,40,714,1647,0,0,86
2,41,717,1647,0.387,0.193,88
2,42,717,1647,0,0,88
2,43,717,1650,0.387,0.193,90
2,44,717,1650,0,0,125
2,45,717,1650,0,0,137
2,46,714,1650,0.387,0.193,147
2,47,714,1653,0.387,0.193,126
2,48,702,1659,1.731,0.865,110
2,49,687,1665,2.084,1.042,108
2,50,678,1671,1.395,0.698,130
2,65,570,1776,19.431,9.716,121
2,66,573,1788,1.596,0.798,107
2,67,582,1785,1.224,0.612,158
2,68,582,1785,0,0,135
2,69,579,1791,0.865,0.433,116
2,70,585,1788,0.865,0.433,130
2,71,585,1788,0,0,122
2,72,585,1788,0,0,134
2,73,585,1788,0,0,132
2,74,585,1791,0.387,0.193,128
2,75,585,1791,0,0,135
2,76,582,1794,0.547,0.274,144
2,77,582,1794,0,0,131
2,78,579,1800,0.865,0.433,127
2,79,579,1809,1.161,0.581,136
2,80,576,1809,0.387,0.193,140
2,81,567,1812,1.224,0.612,118
2,82,567,1812,0,0,118
2,83,567,1812,0,0,125
2,84,567,1812,0,0,108
2,85,567,1812,0,0,128
2,86,567,1812,0,0,130
2,87,564,1815,0.547,0.274,108
2,88,558,1818,0.865,0.433,105
2,89,558,1818,0,0,105
2,101,438,1983,26.319,13.159,103
2,102,462,1986,3.12,1.56,114
2,103,459,1986,0.387,0.193,110
2,104,459,1986,0,0,113
2,105,459,1986,0,0,108
2,106,459,1989,0.387,0.193,92
2,107,459,1989,0,0,106
2,108,459,1989,0,0,103
2,109,459,1989,0,0,103
2,110,459,1989,0,0,103
2,111,459,1989,0,0,108
2,112,459,1989,0,0,111
2,113,456,1989,0.387,0.193,122
2,114,450,1995,1.095,0.547,99
2,115,450,1995,0,0,103
2,116,450,1995,0,0,103
2,117,453,1995,0.387,0.193,106
2,118,453,1995,0,0,106
2,119,453,1995,0,0,123
3,1,774,1452,-1,-1,109
3,2,771,1452,0.387,0.193,129
3,3,768,1455,0.547,0.274,128
3,4,765,1458,0.547,0.274,132
3,5,762,1467,1.224,0.612,119
3,6,762,1467,0,0,159
3,7,765,1464,0.547,0.274,97
3,8,765,1461,0.387,0.193,106
3,9,765,1461,0,0,87
3,10,768,1461,0.387,0.193,103
3,11,768,1461,0,0,116
3,12,762,1467,1.095,0.547,97
3,13,753,1470,1.224,0.612,93
3,14,753,1470,0,0,103
3,15,753,1470,0,0,102
3,16,753,1470,0,0,108
3,17,753,1470,0,0,108
3,18,753,1470,0,0,106
3,19,753,1470,0,0,109
3,20,753,1470,0,0,116
3,21,753,1470,0,0,132
3,22,753,1470,0,0,123
3,23,729,1470,3.096,1.548,135
3,24,729,1470,0,0,135
3,25,729,1470,0,0,136
3,26,726,1473,0.547,0.274,124
3,27,726,1473,0,0,125
3,28,720,1476,0.865,0.433,112
3,29,720,1476,0,0,100
3,30,720,1476,0,0,101
3,31,708,1473,1.596,0.798,92
3,32,711,1479,0.865,0.433,118
3,41,600,1596,20.805,10.402,95
3,42,600,1596,0,0,114
3,43,603,1596,0.387,0.193,123
3,44,609,1596,0.774,0.387,128
3,45,603,1590,1.095,0.547,93
3,46,603,1590,0,0,93
3,47,603,1590,0,0,132
3,48,600,1590,0.387,0.193,127
3,49,591,1590,1.161,0.581,135
3,50,591,1590,0,0,132
3,51,585,1590,0.774,0.387,125
3,52,585,1593,0.387,0.193,134
3,53,585,1602,1.161,0.581,117
3,54,585,1602,0,0,125
3,55,576,1602,1.161,0.581,113
3,56,576,1602,0,0,129
3,57,576,1602,0,0,138
3,58,573,1614,1.596,0.798,110
3,59,573,1614,0,0,128
3,60,570,1620,0.865,0.433,114
3,61,570,1620,0,0,123
3,62,570,1623,0.387,0.193,114
3,63,570,1623,0,0,118
3,64,570,1623,0,0,114
3,65,570,1623,0,0,111
3,77,459,1776,24.384,12.192,94
3,78,459,1776,0,0,131
3,79,459,1776,0,0,103
3,80,453,1776,0.774,0.387,116
3,81,453,1776,0,0,102
3,82,453,1776,0,0,102
3,83,453,1776,0,0,94
3,84,456,1776,0.387,0.193,119
3,85,453,1776,0.387,0.193,106
3,86,450,1776,0.387,0.193,102
3,87,450,1776,0,0,105
3,88,444,1770,1.095,0.547,99
3,89,444,1770,0,0,99
3,90,444,1770,0,0,119
3,91,441,1776,0.865,0.433,122
3,92,429,1779,1.596,0.798,126
3,93,429,1785,0.774,0.387,116
3,94,429,1788,0.387,0.193,132
3,95,429,1794,0.774,0.387,131
3,96,432,1800,0.865,0.433,151
3,97,432,1806,0.774,0.387,150
3,98,432,1806,0,0,147
3,99,423,1824,2.596,1.298,129
3,100,423,1827,0.387,0.193,131
3,101,420,1833,0.865,0.433,117
3,116,327,1965,20.83,10.415,114
3,117,327,1965,0,0,113
3,118,345,1962,2.354,1.177,122
3,119,339,1962,0.774,0.387,110
3,120,339,1962,0,0,114
3,121,330,1962,1.161,0.581,98
3,122,330,1962,0,0,109
3,123,330,1962,0,0,128
3,124,330,1962,0,0,125
3,125,330,1962,0,0,125
4,1,1002,1455,-1,-1,121
4,2,996,1461,1.095,0.547,113
4,3,996,1461,0,0,113
4,4,987,1461,1.161,0.581,111
4,5,981,1464,0.865,0.433,122
4,6,981,1470,0.774,0.387,137
4,7,981,1470,0,0,135
4,8,981,1470,0,0,152
4,21,870,1542,17.068,8.534,101
4,22,870,1542,0,0,86
4,23,870,1542,0,0,109
4,24,870,1545,0.387,0.193,100
4,25,876,1545,0.774,0.387,99
4,26,873,1554,1.224,0.612,108
4,27,861,1551,1.596,0.798,137
4,28,864,1551,0.387,0.193,131
4,29,864,1551,0,0,139
4,30,864,1548,0.387,0.193,135
4,31,861,1545,0.547,0.274,146
4,32,861,1545,0,0,127
4,33,849,1548,1.596,0.798,103
4,34,852,1554,0.865,0.433,124
4,35,852,1554,0,0,136
4,36,849,1554,0.387,0.193,134
4,37,846,1563,1.224,0.612,117
4,38,840,1563,0.774,0.387,129
4,39,840,1563,0,0,113
4,40,840,1563,0,0,104
4,41,840,1563,0,0,111
4,42,840,1563,0,0,123
4,43,837,1566,0.547,0.274,128
4,44,825,1575,1.935,0.967,125
4,53,711,1674,19.477,9.739,122
4,54,711,1674,0,0,152
4,55,711,1671,0.387,0.193,113
4,56,714,1668,0.547,0.274,101
4,57,720,1668,0.774,0.387,113
4,58,723,1668,0.387,0.193,114
4,59,723,1668,0,0,111
4,60,729,1671,0.865,0.433,107
4,61,729,1671,0,0,113
4,62,729,1668,0.387,0.193,127
4,63,729,1677,1.161,0.581,105
4,64,729,1677,0,0,114
4,65,732,1677,0.387,0.193,135
4,66,729,1680,0.547,0.274,129
4,67,729,1680,0,0,129
4,68,729,1680,0,0,129
4,69,726,1683,0.547,0.274,132
4,70,717,1692,1.642,0.821,144
4,71,717,1695,0.387,0.193,98
4,72,702,1698,1.973,0.987,124
4,73,702,1704,0.774,0.387,106
4,74,699,1704,0.387,0.193,114
4,75,684,1704,1.935,0.967,107
