Track,Slice,X,Y,Distance,Velocity,Pixel Value
0,1,,,,,
0,144,,,,,
1,1,1263,861,-1,-1,108
1,2,1851,846,75.877,37.938,116
1,33,1116,750,-1,-1,85
1,33,1176,765,7.978,3.989,92
2,1,1504,917,-1,-1,108
2,2,1490,907,2.219,1.11,90
2,3,1492,907,0.258,0.129,119
2,4,1492,907,0,0,105
2,5,1492,907,0,0,72
2,6,1434,897,7.592,3.796,121
2,7,1434,897,0,0,101
2,21,1196,867,30.945,15.472,109
2,22,1196,867,0,0,125
2,23,1196,867,0,0,103
2,24,1196,867,0,0,103
2,25,1200,879,1.632,0.816,108
2,26,1200,879,0,0,104
2,27,1200,879,0,0,92
2,28,1200,879,0,0,77
2,29,1200,879,0,0,85
2,30,1200,879,0,0,105
2,31,1200,879,0,0,105
2,32,1200,879,0,0,104
2,33,1200,879,0,0,97
2,34,1200,879,0,0,101
2,35,1184,879,2.064,1.032,107
2,36,1184,879,0,0,97
2,37,1184,879,0,0,97
2,38,1184,879,0,0,97
2,39,1184,879,0,0,134
2,40,1150,865,4.743,2.372,97
2,41,1150,865,0,0,106
2,42,1150,865,0,0,127
2,43,1114,865,4.644,2.322,123
2,44,1114,865,0,0,108
2,45,1114,865,0,0,132
2,54,952,863,20.9,10.45,87
2,55,952,863,0,0,86
2,56,952,863,0,0,83
2,57,952,863,0,0,79
2,58,952,863,0,0,78
2,59,952,863,0,0,85
2,60,952,863,0,0,85
2,61,952,871,1.032,0.516,119
2,62,954,871,0.258,0.129,116
2,63,954,871,0,0,118
2,64,954,871,0,0,109
2,65,954,871,0,0,108
2,66,954,871,0,0,103
2,67,954,871,0,0,103
2,68,954,871,0,0,133
2,69,954,871,0,0,110
2,70,942,873,1.569,0.785,111
2,71,942,873,0,0,137
2,72,942,873,0,0,100
2,73,924,873,2.322,1.161,90
2,74,924,873,0,0,90
2,75,924,873,0,0,109
2,86,684,849,31.114,15.557,82
2,87,684,849,0,0,88
2,88,690,869,2.694,1.347,144
2,89,690,869,0,0,109
2,90,690,869,0,0,119
2,91,690,869,0,0,128
2,92,690,869,0,0,135
2,93,690,869,0,0,123
2,94,690,869,0,0,106
2,95,690,869,0,0,94
2,96,690,869,0,0,94
2,97,690,869,0,0,110
2,98,690,869,0,0,94
2,99,678,865,1.632,0.816,108
2,100,678,865,0,0,116
2,101,678,865,0,0,93
2,102,676,865,0.258,0.129,95
2,103,676,865,0,0,95
2,104,676,865,0,0,92
2,105,676,865,0,0,103
2,106,662,861,1.878,0.939,92
2,107,662,861,0,0,101
2,108,662,861,0,0,103
2,109,662,861,0,0,109
2,110,662,861,0,0,109
2,122,526,809,18.783,9.391,106
2,123,526,809,0,0,92
2,124,526,809,0,0,92
2,125,526,809,0,0,96
2,126,526,809,0,0,98
2,127,526,809,0,0,93
2,128,526,809,0,0,98
2,129,526,809,0,0,88
2,130,526,809,0,0,94
2,131,526,809,0,0,94
2,132,512,809,1.806,0.903,94
2,133,512,809,0,0,88
2,134,512,809,0,0,88
2,135,512,809,0,0,86
2,136,496,811,2.08,1.04,106
2,137,496,811,0,0,110
2,138,496,811,0,0,116
2,139,496,811,0,0,116
2,140,496,811,0,0,136
2,141,496,811,0,0,125
2,142,496,811,0,0,121
2,143,496,811,0,0,103
2,144,482,825,2.554,1.277,106
3,1,1380,787,-1,-1,90
3,2,1380,787,0,0,119
3,3,1380,787,0,0,119
3,4,1380,787,0,0,123
3,5,1380,787,0,0,129
3,6,1360,779,2.779,1.389,115
3,7,1360,779,0,0,137
3,8,1360,779,0,0,121
3,9,1360,779,0,0,92
3,10,1360,779,0,0,92
3,11,1330,783,3.904,1.952,161
3,12,1330,783,0,0,142
3,13,1330,783,0,0,108
3,14,1330,783,0,0,116
3,15,1330,783,0,0,109
3,16,1330,783,0,0,67
3,17,1332,769,1.824,0.912,99
3,18,1332,769,0,0,109
3,19,1332,769,0,0,114
3,20,1306,767,3.364,1.682,132
3,21,1306,767,0,0,106
3,22,1306,767,0,0,107
3,23,1284,767,2.838,1.419,122
3,34,1132,759,19.635,9.818,105
3,35,1132,759,0,0,97
3,36,1132,759,0,0,97
3,37,1132,759,0,0,93
3,38,1132,759,0,0,93
3,39,1132,759,0,0,96
3,40,1132,759,0,0,103
3,41,1114,745,2.942,1.471,120
3,42,1114,745,0,0,127
3,43,1114,745,0,0,116
3,44,1114,745,0,0,102
3,45,1106,743,1.064,0.532,141
3,46,1106,743,0,0,141
3,47,1106,743,0,0,129
3,48,1106,743,0,0,103
3,49,1106,743,0,0,107
3,50,1076,739,3.904,1.952,135
3,51,1076,739,0,0,134
3,52,1076,739,0,0,137
3,53,1076,739,0,0,137
3,54,1054,749,3.117,1.559,135
3,55,1054,749,0,0,110
3,56,1028,761,3.694,1.847,119
3,57,1028,761,0,0,144
3,65,884,761,18.576,9.288,94
3,66,884,761,0,0,94
3,67,884,761,0,0,94
3,68,884,761,0,0,92
3,69,894,749,2.015,1.008,124
3,70,894,749,0,0,123
3,71,894,749,0,0,108
3,72,880,757,2.08,1.04,94
3,73,880,757,0,0,108
3,74,880,757,0,0,108
3,75,876,765,1.154,0.577,135
3,76,876,765,0,0,127
3,77,876,765,0,0,131
3,78,866,753,2.015,1.008,97
3,79,866,753,0,0,94
3,80,866,753,0,0,103
3,81,824,731,6.116,3.058,132
3,82,824,731,0,0,132
3,83,800,727,3.139,1.569,125
3,84,800,727,0,0,139
3,85,800,727,0,0,135
3,86,774,749,4.394,2.197,150
3,87,774,749,0,0,125
3,95,648,735,16.354,8.177,92
3,96,648,735,0,0,92
3,97,648,735,0,0,116
3,98,648,735,0,0,108
3,99,648,735,0,0,87
3,100,648,735,0,0,83
3,101,648,735,0,0,78
3,102,648,735,0,0,103
3,103,648,723,1.548,0.774,104
3,104,648,723,0,0,121
3,105,648,723,0,0,126
3,106,648,723,0,0,120
3,107,642,723,0.774,0.387,127
3,108,642,723,0,0,126
3,109,642,723,0,0,105
3,110,642,723,0,0,105
3,111,642,723,0,0,105
3,112,636,723,0.774,0.387,97
3,113,636,723,0,0,103
3,114,636,723,0,0,108
3,115,628,717,1.29,0.645,118
3,116,628,717,0,0,101
3,117,628,717,0,0,101
3,118,622,713,0.93,0.465,106
3,119,622,713,0,0,99
3,120,622,713,0,0,100
3,121,622,713,0,0,126
3,122,622,713,0,0,114
3,123,622,713,0,0,102
3,124,622,713,0,0,102
3,125,608,707,1.965,0.982,113
3,126,608,707,0,0,111
3,127,608,707,0,0,108
3,144,448,695,20.698,10.349,128
4,15,1382,913,-1,-1,121
4,16,1382,913,0,0,97
4,17,1382,913,0,0,97
4,18,1382,913,0,0,84
4,19,1382,913,0,0,88
4,20,1382,913,0,0,77
4,21,1382,913,0,0,113
4,22,1382,913,0,0,129
4,23,1382,913,0,0,103
4,24,1382,913,0,0,103
4,25,1382,913,0,0,114
4,26,1382,913,0,0,125
4,27,1346,913,4.644,2.322,91
4,28,1346,913,0,0,98
4,29,1346,913,0,0,89
4,30,1326,903,2.885,1.442,92
4,31,1326,903,0,0,92
4,32,1326,903,0,0,92
4,33,1326,903,0,0,90
4,34,1326,903,0,0,98
4,35,1310,899,2.128,1.064,108
4,36,1310,899,0,0,96
4,37,1310,899,0,0,100
4,38,1278,889,4.325,2.162,103
4,39,1278,889,0,0,89
4,47,1158,885,15.489,7.744,96
4,48,1158,885,0,0,94
4,49,1158,885,0,0,109
4,50,1158,885,0,0,113
4,51,1158,885,0,0,121
4,52,1158,885,0,0,109
4,53,1158,885,0,0,109
4,54,1158,885,0,0,101
4,55,1158,885,0,0,97
4,56,1158,885,0,0,75
4,57,1112,889,5.956,2.978,106
4,58,1112,889,0,0,89
4,59,1112,889,0,0,101
4,60,1112,889,0,0,101
4,61,1112,889,0,0,123
4,62,1096,871,3.107,1.553,95
4,63,1096,871,0,0,119
4,64,1096,871,0,0,108
4,65,1096,871,0,0,122
4,66,1096,871,0,0,105
4,67,1096,871,0,0,105
4,68,1096,871,0,0,99
4,69,1086,871,1.29,0.645,124
4,70,1086,871,0,0,80
4,71,1040,889,6.372,3.186,104
4,79,896,877,18.64,9.32,137
4,80,896,877,0,0,95
