bear,body_length,body_length_sd,limb_length,limb_length_sd,L1_swing,L1_swing_sd,L1_stance,L1_stance_sd,L1_period,L1_period_sd,L1_duty_factor,L1_duty_factor_sd,L1_step_length,L1_step_length_sd,L1_pull_back,L1_pull_back_sd,L1_stride_length,L1_stride_length_sd,R1_swing,R1_swing_sd,R1_stance,R1_stance_sd,R1_period,R1_period_sd,R1_duty_factor,R1_duty_factor_sd,R1_step_length,R1_step_length_sd,R1_pull_back,R1_pull_back_sd,R1_stride_length,R1_stride_length_sd,L2_swing,L2_swing_sd,L2_stance,L2_stance_sd,L2_period,L2_period_sd,L2_duty_factor,L2_duty_factor_sd,L2_step_length,L2_step_length_sd,L2_pull_back,L2_pull_back_sd,L2_stride_length,L2_stride_length_sd,R2_swing,R2_swing_sd,R2_stance,R2_stance_sd,R2_period,R2_period_sd,R2_duty_factor,R2_duty_factor_sd,R2_step_length,R2_step_length_sd,R2_pull_back,R2_pull_back_sd,R2_stride_length,R2_stride_length_sd,L3_swing,L3_swing_sd,L3_stance,L3_stance_sd,L3_period,L3_period_sd,L3_duty_factor,L3_duty_factor_sd,L3_step_length,L3_step_length_sd,L3_pull_back,L3_pull_back_sd,L3_stride_length,L3_stride_length_sd,R3_swing,R3_swing_sd,R3_stance,R3_stance_sd,R3_period,R3_period_sd,R3_duty_factor,R3_duty_factor_sd,R3_step_length,R3_step_length_sd,R3_pull_back,R3_pull_back_sd,R3_stride_length,R3_stride_length_sd,L4_swing,L4_swing_sd,L4_stance,L4_stance_sd,L4_period,L4_period_sd,L4_duty_factor,L4_duty_factor_sd,L4_step_length,L4_step_length_sd,L4_pull_back,L4_pull_back_sd,L4_stride_length,L4_stride_length_sd,R4_swing,R4_swing_sd,R4_stance,R4_stance_sd,R4_period,R4_period_sd,R4_duty_factor,R4_duty_factor_sd,R4_step_length,R4_step_length_sd,R4_pull_back,R4_pull_back_sd,R4_stride_length,R4_stride_length_sd,cum_swing,cum_swing_sd,cum_stance,cum_stance_sd,cum_period,cum_period_sd,cum_duty_factor,cum_duty_factor_sd,cum_step_length,cum_step_length_sd,cum_pull_back,cum_pull_back_sd,cum_stride_length,cum_stride_length_sd,speed,speed_sd,Froude_number
08082019-Bear17,368.2464744488643,7.758080044828006,38.03953034283028,0.05367771319986048,0.255,0.029580398915498074,0.405,0.07262919523166975,0.66,0.07262919523166975,0.6095625925113756,0.06089567519309328,131.00394839031472,6.0437886418836815,5.512389785619242,2.793596937892193,134.43872701214096,8.85560863831762,0.285,0.07533259586659682,0.38,0.02449489742783178,0.665,0.02449489742783178,0.5783525090173398,0.05199441240999814,105.18907327890577,14.531800911277129,27.010042222370583,7.913879841503697,135.2917492305676,11.623498403372968,0.268,0.05153639490690051,0.396,0.1022936948203554,0.6639999999999999,0.1022936948203554,0.5913102453102452,0.0652340900121371,104.33953419340928,11.656654936231808,31.913009809948115,8.228991728647905,134.8798503841203,12.241763283361852,0.245,0.03570714214271424,0.43,0.03316624790355398,0.675,0.03316624790355398,0.6385275263951734,0.019894613256018354,108.11858801573652,10.302016816305475,28.76937287095469,12.07031729541425,132.80071527555873,11.835540642487862,0.22499999999999998,0.049749371855330994,0.43000000000000005,0.05196152422706632,0.655,0.05196152422706632,0.6572352216748769,0.06477664960419025,95.72380416210339,9.748920029176507,35.81947757816554,6.538111426650392,137.3870950214343,10.480332607860424,0.205,0.016583123951777003,0.44999999999999996,0.08185352771872449,0.655,0.08185352771872449,0.6820335575246432,0.04925783591034796,97.29742802385192,12.449066227768146,32.305397356990056,10.062215293213525,133.92698835738008,15.032108618626294,0.35999999999999993,0.15491933384829665,0.09999999999999999,0.061101009266077866,0.46,0.061101009266077866,0.23469239094239094,0.17675436312106088,86.37994858434998,27.34593021331915,9.991388338166225,10.840590808436412,99.85777781110734,34.52951699576541,0.29000000000000004,0.0640312423743285,0.28,0.12409673645990857,0.57,0.12409673645990857,0.4704916617055836,0.08538888913155884,90.18685549887546,19.87120643607122,30.79522560945913,19.010614263156068,118.44993893215417,16.945909298970978,0.21737704918032782,0.04878529875791703,0.4131147540983607,0.05655523873363299,0.6304918032786886,0.0746231236852992,0.6560256540376366,0.058244476930849345,108.4410130786855,15.361991434349301,28.65667172489578,13.140634391418702,136.59315696437588,10.632174908568658,216.77832970103452,2.7447497125737357,0.001260580281436465
05082019-Bear7,385.62805914507834,0.0,45.75590125874476,0.0,0.26,0.041952353926806074,0.536,0.04270831300812525,0.7959999999999999,0.04270831300812525,0.6745530597917379,0.030432365679017425,117.25558080225505,11.23382262303607,32.85595982365966,8.509165885447436,145.27528777730694,11.050826268684625,0.26,0.02,0.5033333333333333,0.04818944098266986,0.7633333333333333,0.04818944098266986,0.6587690631808278,0.017868158149448234,109.77416110854601,7.421492633897066,28.588380438450574,7.84651752306399,136.5870183221783,8.959372460210712,0.256,0.03878143885933064,0.548,0.0627375485654325,0.804,0.0627375485654325,0.6809986187560557,0.047391339519610116,109.55753956709864,12.642132889810195,43.65873433036606,13.513582673388884,153.0857791588861,17.351293192537458,0.26799999999999996,0.06645299090334461,0.5,0.03346640106136303,0.768,0.03346640106136303,0.6548307763949169,0.04911613746872783,98.12788767512151,9.744827367313285,43.61946057049305,8.272403492287031,141.1083616098885,10.594162721657137,0.28400000000000003,0.03878143885933062,0.52,0.0565685424949238,0.804,0.0565685424949238,0.6457693723816064,0.05269658088066136,114.97799348828634,12.339165831108096,35.63660783715763,12.101990822200943,158.03416917633257,9.993452766538708,0.29600000000000004,0.007999999999999985,0.536,0.01959591794226544,0.8320000000000001,0.01959591794226544,0.6440827323555627,0.01119103128725961,118.90944558072272,11.883002637597325,38.84164951489369,12.957710560209277,150.4722360657406,8.915501857777857,0.6280000000000001,0.15104966070799364,0.184,0.08708616422830898,0.812,0.08708616422830898,0.235999692280409,0.1289337271662813,130.17449176102332,27.326501692665904,14.297596478143637,13.275719752547305,157.38200182133914,8.063770964406391,0.588,0.09682974749528166,0.244,0.048,0.8320000000000001,0.048,0.2957197727033568,0.06199568587835838,105.63031782007324,17.46567940935358,46.7319266417445,18.672360117312735,154.8472819282645,9.83795830154115,0.2653846153846154,0.0442224072363225,0.5207692307692308,0.053054621847755015,0.7861538461538462,0.0672010143625894,0.662822058296406,0.04293754046528342,109.9323067044263,12.541755656671178,36.553234439964825,11.887707535034172,146.42461917481307,14.253800261637359,196.53495191728163,0.0,0.000861403047398401
08082019-Bear15,385.2795847318909,7.462009703941703,38.71866256455558,2.5313374354444207,0.245,0.02179449471770338,0.405,0.03840572873934305,0.65,0.03840572873934305,0.6221479500891265,0.038064528353792176,128.0092748776813,13.544045565865252,18.082975364053716,7.3126860306611245,149.81051096290827,17.17937149701185,0.28,0.02828427124746191,0.42,0.08602325267042629,0.7,0.08602325267042629,0.5944128787878789,0.06797178033442967,117.05990490480653,14.758109251447332,43.075513717049475,5.645639291726247,170.13719291084806,18.603073359444483,0.22,0.0,0.46,0.050990195135927854,0.6799999999999999,0.050990195135927854,0.674639609367432,0.024428046004380713,113.69677515628035,12.626170997663273,38.51860259105423,6.012726455812726,161.26121151292799,20.595412993739775,0.225,0.04092676385936225,0.455,0.07533259586659682,0.6799999999999999,0.07533259586659682,0.6673611111111112,0.06181335780964904,129.1594628843095,21.71692939705532,26.4910236631351,5.080727337617743,160.0855414709464,22.702987952115457,0.25,0.01732050807568879,0.415,0.06689544080129826,0.665,0.06689544080129826,0.6210938486800557,0.028977824444738134,118.73778149452727,16.411367881986568,34.251262620885626,18.02516668092485,159.45021045633672,16.63463286129073,0.255,0.021794494717703377,0.43,0.0714142842854285,0.685,0.0714142842854285,0.6236190695151859,0.05644259504306146,134.2444645126791,17.885923171702718,31.538799521315916,6.830839974281592,150.13207902205818,7.466431444437568,0.46499999999999997,0.00866025403784437,0.19499999999999998,0.11346805717910216,0.66,0.11346805717910216,0.2758275261324042,0.12069181550052607,139.91392490399676,27.981219022029045,15.771760117157907,18.159923810600844,153.72556894784185,12.800106005293092,0.47333333333333333,0.05734883511361752,0.22666666666666668,0.04109609335312652,0.6999999999999998,0.04109609335312652,0.3253501400560224,0.06650198571231306,134.19567355879573,14.319434280066268,27.510003685381914,20.455126429095312,160.35161393428817,23.86351626791416,0.23419354838709677,0.0431631707965877,0.42096774193548386,0.08526447805201055,0.6551612903225807,0.09191057953572664,0.6375124600130795,0.07240012263334801,115.66899739663235,16.167369845137962,40.463287373297554,16.741408363043917,159.83937737366156,16.72802716433544,249.8170859210684,0.904960922857498,0.0016447422668232146
05082019-Bear5,330.1839887806348,6.6787763033085525,31.94919618359959,2.066425227746114,0.2,0.020000000000000004,0.49,0.03,0.69,0.03,0.7096638655462184,0.03319327731092442,65.83726516481718,31.86168569956008,64.3064227743589,31.805192028431737,137.6632311760932,74.61681970010196,0.20000000000000004,0.016329931618554526,0.49333333333333335,0.04714045207910318,0.6933333333333334,0.04714045207910318,0.7112228049728051,0.01008377670791462,79.71808733504331,9.249543320748813,64.31808815153363,6.284786116611292,138.80608988175752,2.8582182802338183,0.25333333333333335,0.0679869268479038,0.4000000000000001,0.0282842712474619,0.6533333333333333,0.0282842712474619,0.6173160173160174,0.0831289072591691,90.34104398053785,8.658277687076467,39.34180342595511,11.330269334552776,136.49318694746938,3.660251987972272,0.18666666666666668,0.009428090415820642,0.48,0.05656854249492383,0.6666666666666666,0.05656854249492383,0.7179780587038652,0.028876750155538616,110.44694469811127,6.397257760349539,29.809041127753687,4.652264722034759,140.29681405715908,9.969777600876498,0.2733333333333334,0.0339934634239519,0.44,0.04898979485566356,0.7133333333333334,0.04898979485566356,0.61593690107622,0.05186419799405059,111.62135529661815,4.735825350046208,39.54429560062185,11.46554339971027,137.99484984321853,5.256083784298999,0.22,0.01999999999999999,0.47,0.009999999999999981,0.69,0.009999999999999981,0.6815126050420168,0.024369747899159577,77.99635336211433,4.206110104621274,58.695066399924414,7.015549180817185,138.8266837120634,13.546148512057165,0.92,0.42000000000000004,0.09,0.03,1.01,0.03,0.11820276497695853,0.07534562211981566,203.5399398271657,74.10167268796147,5.53426824431198,5.53426824431198,288.3348444083719,0.0,1.34,0.0,0.16,0.0,1.5,0.0,0.10666666666666667,0.0,277.9699129402317,0.0,18.81289451413578,0.0,124.14536841944609,0.0,0.21000000000000002,0.04942526826287484,0.47285714285714275,0.06028842241716912,0.6828571428571427,0.05880904183338261,0.6927460064535884,0.06416463185028701,91.64118686638886,23.069708302190747,43.66981909520803,19.731508708309423,129.76202238497643,23.43964998450352,198.10713124987512,3.47101301517371,0.001253470756641431
05082019-Bear1,352.1963674355388,12.63650526098786,35.12186394460096,1.9572743949020257,0.48,0.12328828005937953,0.84,0.032659863237109024,1.32,0.032659863237109024,0.6413787934152214,0.06472787285560633,109.29051405059509,14.29286670184392,31.893983861931066,12.015564631546907,147.26981637658605,9.570850767127917,0.3333333333333333,0.018856180831641256,0.8133333333333334,0.15520595635763756,1.1466666666666667,0.15520595635763756,0.7031756881380943,0.052258158282329624,91.68133843919283,10.512477443408974,36.9718216290268,15.58811744347039,134.10620809701155,18.30921761957716,0.41333333333333333,0.06182412330330469,0.96,0.1131370849898476,1.3733333333333333,0.1131370849898476,0.6991247379785506,0.024241725846974798,84.41095019654638,16.348898645357277,67.58392159573017,12.00639586812785,153.61455346522823,8.322347245732375,0.4533333333333333,0.049888765156985884,0.7466666666666666,0.1948218559493661,1.2,0.1948218559493661,0.6110968559436128,0.09277272104784645,101.40218367926464,3.872937525532262,33.305915524410445,10.762945279096948,137.57116115262684,11.632094356476744,0.39999999999999997,0.09933109617167561,0.8866666666666667,0.0659966329107444,1.2866666666666664,0.0659966329107444,0.6931531013325665,0.04034888949271818,104.83877990559806,6.28432398158876,35.776563128084604,10.88554228057461,140.8189654230932,15.791262684462273,0.36000000000000004,0.016329931618554512,0.8866666666666666,0.22291004663067313,1.2466666666666666,0.22291004663067313,0.7012555899552803,0.06078028861027093,100.25746853130575,8.299397791059313,45.044847294044274,15.156821311087382,141.66070605213156,21.822679964009513,0.5960000000000001,0.09414881836751854,0.272,0.11070682002478438,0.868,0.11070682002478438,0.3090937293805781,0.10275472649014715,90.04902488756333,19.71395741090561,5.224214125298949,6.758001684893762,104.1924371607159,13.782392056831634,0.645,0.08986100377805714,0.25,0.0806225774829855,0.895,0.0806225774829855,0.27523425039872407,0.056755957937839906,88.50773531586701,14.444576465110691,11.69718556892384,8.92270137156679,96.4582791327731,19.18755486621555,0.40681818181818186,0.08643896236579911,0.823181818181818,0.14019098543306632,1.2299999999999998,0.16172367005032215,0.6677361384220929,0.06419189533293417,101.3156596871791,15.464826289089414,41.84762330471876,16.58407138631404,147.27628489378404,16.38832730777998,135.28489497937898,15.492538722131876,0.0005317346795847515
05082019-Bear6,328.68149096047375,0.0,33.0,0.0,0.2425,0.09562295749452639,0.3775,0.14947825928876748,0.62,0.14947825928876748,0.5774275493140968,0.1209158610172564,93.63873106582514,36.12059982727413,18.77054250598109,14.021083999860965,107.47680506177497,40.217768134410726,0.26333333333333336,0.07156970184527962,0.48,0.04320493798938575,0.7433333333333333,0.04320493798938575,0.6494384513392362,0.07715573505206384,102.55791452062022,18.65007826206522,26.44635419105175,13.616271516147135,126.56248830596832,11.69605932789476,0.21714285714285714,0.07362342129557214,0.4942857142857143,0.06298687910013887,0.7114285714285715,0.06298687910013887,0.7007487610428786,0.06232313047613948,81.01101189961454,13.33180492015552,41.598282171507954,15.029758303622774,123.86493167872337,9.767125628871861,0.22857142857142856,0.046423076597919784,0.5142857142857143,0.0395897327444315,0.7428571428571428,0.0395897327444315,0.6937414752430231,0.0514383788382954,85.05833310049024,10.394777474168318,41.09847823530747,11.70191136520448,124.93857270527337,13.462614119871148,0.23142857142857146,0.09249379460707798,0.49142857142857144,0.09372125409632415,0.722857142857143,0.09372125409632415,0.6825184302142827,0.12142786099038615,77.465879350652,19.02390509337287,46.9467298566989,10.894309722674704,122.64792754336017,11.434868886941327,0.2366666666666667,0.03901566636906542,0.49666666666666665,0.02924988129130708,0.7333333333333334,0.02924988129130708,0.6783594724053835,0.03840436928922553,89.70661903694356,17.040503248457068,39.157610277630795,17.024953960148725,121.9619614721271,12.67832614627747,0.425,0.0792148975887743,0.19,0.054772255750516606,0.615,0.054772255750516606,0.30686036633617275,0.05743924953453511,93.5899770638386,24.91203159499773,13.638269410094999,8.932058553192933,108.57348032218886,27.45936194137207,0.4625,0.07774155902733106,0.16999999999999998,0.059160797830996155,0.6325000000000001,0.059160797830996155,0.266493854706781,0.0859962685169696,96.52790828247376,22.925131899518775,14.391365476711789,17.485409266462945,101.93418595102807,19.422912938105682,0.236,0.0801142041980429,0.46857142857142864,0.10422894736774307,0.7045714285714286,0.13590633028760982,0.6587174790871282,0.10418478438667471,87.69154017444627,23.760901175894354,34.7527684868217,17.04106627075401,120.55283982347166,22.952757174651726,182.70250526520988,0.0,0.0010321646700737182
08082019-Bear16,372.69929085729393,5.813010792203414,32.168873600829336,1.0367358650425427,0.18500000000000003,0.04330127018922193,0.4,0.0316227766016838,0.585,0.0316227766016838,0.6871801889043269,0.035707769895342634,95.92968419559264,13.217155145259637,55.31496689880558,18.086460736806504,163.716708615879,6.109274915039431,0.1466666666666667,0.009428090415820628,0.45333333333333337,0.0410960933531265,0.6000000000000001,0.0410960933531265,0.7540674603174603,0.028753073931651597,83.2966824047572,5.6093107444389965,75.99088403531704,18.32167778519021,153.53637974191255,21.5438528528959,0.175,0.03278719262151001,0.44499999999999995,0.038405728739343045,0.62,0.038405728739343045,0.7185139573070609,0.04640145031125007,94.41391882211701,11.123345164594111,68.35069799986782,10.322194918275143,158.62983453808027,17.104256617031744,0.18,0.02449489742783178,0.4000000000000001,0.042426406871192854,0.58,0.042426406871192854,0.6884615384615386,0.04545409718265599,105.3009193458912,8.687858476639567,50.379499924333,9.755433735828085,157.69235292867475,13.800321404362611,0.18000000000000002,0.016329931618554526,0.4666666666666666,0.06599663291074447,0.6466666666666666,0.06599663291074447,0.7183990442054958,0.04298718324075266,97.41202996225901,12.946193210050405,81.19795504686284,16.6029745188718,172.44855246533066,13.53080137853788,0.245,0.016583123951777003,0.375,0.016583123951777013,0.62,0.016583123951777013,0.605021204115684,0.01847893496353056,102.52548741120361,13.45051322794533,46.4706157010852,14.661365092038805,163.2659995323846,11.767595230910528,0.35000000000000003,0.030000000000000002,0.19,0.09219544457292887,0.54,0.09219544457292887,0.3323717948717949,0.12404591510104006,105.23571701481544,12.404262951811658,38.071630962531096,10.409144578342822,141.08570633454337,11.482001178463898,0.20800000000000002,0.05455272678794342,0.23200000000000004,0.10166612021711066,0.44000000000000006,0.10166612021711066,0.5064884433305485,0.08596602634975073,73.96382670876753,18.264756735182868,39.82271005364409,25.675791399358946,115.08243284319228,38.14357286479785,0.1797058823529412,0.03780641823177079,0.43852941176470595,0.08140791813422142,0.618235294117647,0.0997488194898535,0.707864969975122,0.048637879483384994,92.64503700561096,18.32649722620007,49.83808013021165,21.31962030879241,140.85579243090683,23.8712582781442,263.5363988028288,15.100902747412334,0.0022030242826373294
05082019-Bear4,393.1458841571492,6.9714611304551966,41.84428609166375,0.9922053613019166,0.26,0.028284271247461894,0.565,0.08170067319184093,0.825,0.08170067319184093,0.6838165026387106,0.016183233565862314,120.77916866904502,12.049944631174727,40.767274147468,12.3245682920412,153.82443114255733,8.452108238105021,0.225,0.03570714214271426,0.55,0.02236067977499788,0.7749999999999999,0.02236067977499788,0.7105707681365575,0.03876263731242344,100.61380310506503,6.315021752552308,39.92595265934974,5.262739708874424,147.8141576290991,10.179719023619862,0.28,0.02828427124746191,0.5750000000000001,0.06224949798994367,0.855,0.06224949798994367,0.6717836257309941,0.026131175044826288,113.28548525642967,24.866583102936744,42.677973136801484,7.661836198617876,161.09682497888176,24.09286422830513,0.215,0.032787192621509996,0.5850000000000001,0.021794494717703353,0.7999999999999999,0.021794494717703353,0.7324285040854809,0.031130232697401422,100.5618597932151,7.9012169904229275,44.08429684589066,12.877563690519839,143.7605477047201,5.438455538009248,0.24,0.02449489742783178,0.5800000000000001,0.04242640687119283,0.8200000000000001,0.04242640687119283,0.7075316387816388,0.020059243016817423,105.39091883206585,12.085393155909712,42.693342055852554,3.2988322330746174,149.12092936441036,9.692893040498465,0.21000000000000002,0.022360679774997894,0.6250000000000001,0.040926763859362246,0.835,0.040926763859362246,0.7482734744929866,0.025523662313312618,96.18457698306457,6.822409808046212,54.71478393943279,5.309594472385561,145.9183373498709,13.488354237981484,0.86,0.40431011200150146,0.26666666666666666,0.09285592184789412,1.1266666666666667,0.09285592184789412,0.25790724684655486,0.12068718654950786,175.63507831754245,73.33144571776423,32.98708837481421,21.752134007621656,198.56233039516334,102.2129482080198,0.5039999999999999,0.18821264569629745,0.184,0.06974238309665078,0.688,0.06974238309665078,0.29141282238276,0.17349445569447852,103.31472017027284,40.666824269153594,24.86134792527418,15.615917499092557,115.09187470675806,52.93363180893509,0.23285714285714285,0.06430158534243942,0.6332142857142858,0.0885822286042172,0.8660714285714286,0.11630745233813591,0.7328761816245528,0.05770326834864832,96.79076830615244,23.352787023739758,48.60792188620742,12.689232692835654,146.93176655684752,24.583108258939085,176.14103409349647,15.718385286910802,0.0007565869480073689
08082019-Bear14,340.2279408276522,2.0705144712287336,39.63581583250942,1.1161779837445316,0.20000000000000004,0.028284271247461898,0.6333333333333334,0.4104739807696572,0.8333333333333334,0.4104739807696572,0.6292319777119104,0.29105701368289577,85.76026448239328,14.400504710250734,27.91523013459611,32.337631739701315,103.38124565354344,11.039117836196038,0.225,0.04092676385936225,1.1400000000000001,0.6169278726074873,1.365,0.6169278726074873,0.7888586956521739,0.09962104842444638,87.59118171594713,27.716700932902036,23.263902141283115,6.434738313311823,115.17749360805314,23.03071245460894,0.225,0.03840572873934304,0.7949999999999999,0.25821502667350715,1.02,0.25821502667350715,0.7673705980570734,0.043821413128210314,80.00674572542007,10.34682987334658,19.508613819653828,8.201538687076452,102.33508268417532,17.6644834915432,0.18000000000000002,0.09521904571390466,0.62,0.4614469994845923,0.8000000000000002,0.4614469994845923,0.6835576857005429,0.19896196834413676,75.78227689709166,31.34531876201815,11.443995272406937,7.203903261782998,88.17516737918477,30.117974390341924,0.22666666666666666,0.0339934634239519,0.8533333333333334,0.30825674724525043,1.08,0.30825674724525043,0.7660130718954248,0.09088375718374682,84.44174196738594,15.763080711377922,16.35807903145238,14.97592235559326,97.3810127302083,6.759316506793385,0.26,0.0565685424949238,0.9133333333333334,0.3851695153507811,1.1733333333333333,0.3851695153507811,0.7603939567794988,0.048706392791728,73.07542828938064,4.117557567732116,19.986124569079863,11.81566014699231,98.26166328690918,14.556545884587042,0.41333333333333333,0.1581841402360623,0.37000000000000005,0.29994443929945874,0.7833333333333332,0.29994443929945874,0.38078126350358654,0.20801320590360753,65.94497333298644,14.665537566407483,28.376338090720537,28.8664976497171,85.61870823400206,19.5239233664076,0.44,0.10677078252031309,0.72,0.5163332257370233,1.16,0.5163332257370233,0.5153415278410352,0.21364381090079024,64.92491140662642,10.26466652364849,22.267938237606753,17.52930194406301,93.77786602575625,13.905573294737389,0.20131147540983604,0.06292007445922417,0.58327868852459,0.359200940665986,0.7845901639344262,0.38908709367007904,0.6989896641095257,0.13746943587559413,77.71565072550956,24.10663488389372,26.751057178658034,20.00287472342958,99.36242729557587,32.340121367060206,129.3100979328148,34.984357236842804,0.0004304780420668311
05082019-Bear10,297.22249318201244,10.744124596039866,32.21899030330864,0.34156088081697655,0.24352941176470586,0.040138169668781136,0.567058823529412,0.06017276165903258,0.8105882352941176,0.06017276165903258,0.7000068456465922,0.035270594420489174,81.7886416470263,9.144872102419557,32.508469664460904,4.767906195238131,116.19616791445284,10.332425915090587,0.32823529411764707,0.04804841848626386,0.52,0.05444911277838179,0.8482352941176471,0.05444911277838179,0.6134478532292873,0.04829668939250768,81.40530522981871,7.948415556060139,35.87172193468521,11.622234300964084,118.5024608959983,11.842092042596917,0.27529411764705886,0.05961816216150554,0.5388235294117647,0.07684073314262556,0.8141176470588235,0.07684073314262556,0.6615364726722635,0.07266951328733952,69.48310338091397,6.940246467367652,39.60665360522812,9.031890666909161,112.33979726019348,8.6191192267254,0.26142857142857145,0.05040651075536387,0.6171428571428572,0.04948716593053936,0.8785714285714284,0.04948716593053936,0.7037632977184067,0.04218416274457637,84.26274432606519,5.566842917555992,35.47096913508521,6.403486107747707,120.18722526936793,4.651841791183661,0.2936842105263158,0.04306794220100797,0.5042105263157893,0.07213407031162869,0.7978947368421053,0.07213407031162869,0.6307292621798398,0.04166659980797565,77.9014712273529,5.934787415446487,32.263274520618346,5.54751593027842,108.60837393465135,9.528276619725492,0.44117647058823534,0.12564573693951045,0.49294117647058827,0.06359473765524508,0.9341176470588236,0.06359473765524508,0.5336367995814928,0.05363703752953985,92.05859183291824,17.70640692548178,33.037285986283514,7.365296165239453,131.16537442959483,12.444836781127218,0.44000000000000006,0.0726636084983398,0.369,0.10723339032223128,0.8089999999999999,0.10723339032223128,0.45044007965261335,0.09361122506919035,76.95270636338245,23.0125505616183,30.426079914700143,11.314925365387099,115.25860327364767,11.397702461807553,0.46727272727272734,0.15094194604012554,0.2172727272727272,0.10397472674478589,0.6845454545454546,0.10397472674478589,0.32415320592952174,0.15888363857606744,79.6460438319503,27.64738146586498,18.710107901955123,10.670373109558845,97.57091176352097,35.49777937441253,0.2750427350427351,0.05415432098557261,0.572991452991453,0.10104805455157485,0.8480341880341883,0.10740322072745916,0.6735519235437103,0.0629626200968961,81.74338292121185,10.2442932980918,32.01421985888271,10.604776596240958,114.05227450413338,13.067789696674915,139.40514920050904,7.040243503572043,0.0006154880556741442
