bear,video,frame,body_length,limb_length,num_feet_down,num_rearfeet_down,L1_leg_down,L1_leg_loc,R1_leg_down,R1_leg_loc,L2_leg_down,L2_leg_loc,R2_leg_down,R2_leg_loc,L3_leg_down,L3_leg_loc,R3_leg_down,R3_leg_loc,L4_leg_down,L4_leg_loc,R4_leg_down,R4_leg_loc,head_pos,center_pos,COM_dist,COM_speed,tail_pos
05082019-Bear4,10,1,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1499.0, 762.0)",1,"(1683.0, 825.0)",1,"(1652.0, 669.0)",1,"(1841.0, 767.0)",0,0,0,0,1,"(2005.0, 545.0)","(1344.0, 897.0)","(1662.0, 744.0)",11.667261889578036,583.3630944789018,"(1959.0, 612.0)"
05082019-Bear4,10,2,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1499.0, 762.0)",1,"(1683.0, 825.0)",1,"(1652.0, 669.0)",1,"(1841.0, 767.0)",0,0,0,0,1,"(2005.0, 545.0)","(1332.0, 900.0)","(1647.0, 759.0)",0.0,0.0,"(1959.0, 612.0)"
05082019-Bear4,10,3,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1494.0, 762.0)",1,"(1683.0, 825.0)",1,"(1642.0, 671.0)",1,"(1841.0, 767.0)",0,0,0,0,1,"(2005.0, 545.0)","(1332.0, 900.0)","(1647.0, 759.0)",0.0,0.0,"(1959.0, 612.0)"
05082019-Bear4,10,4,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1494.0, 762.0)",1,"(1683.0, 825.0)",1,"(1642.0, 671.0)",1,"(1826.0, 769.0)",0,0,0,0,1,"(1985.0, 561.0)","(1323.0, 903.0)","(1647.0, 759.0)",0.0,0.0,"(1959.0, 612.0)"
05082019-Bear4,10,5,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1466.0, 767.0)",1,"(1663.0, 835.0)",1,"(1642.0, 671.0)",1,"(1826.0, 769.0)",0,0,0,0,1,"(1985.0, 561.0)","(1323.0, 903.0)","(1647.0, 759.0)",14.000714267493642,700.0357133746821,"(1959.0, 612.0)"
05082019-Bear4,10,6,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1466.0, 767.0)",1,"(1663.0, 835.0)",1,"(1630.0, 696.0)",1,"(1826.0, 769.0)",0,0,0,0,1,"(1985.0, 561.0)","(1323.0, 903.0)","(1629.0, 777.0)",0.0,0.0,"(1944.0, 618.0)"
05082019-Bear4,10,7,400.1173452876044,40.85208073036183,5,2,1,"(1488.0, 915.0)",1,"(1466.0, 767.0)",1,"(1663.0, 835.0)",1,"(1630.0, 696.0)",0,0,1,"(1668.0, 649.0)",1,"(1967.0, 666.0)",1,"(1985.0, 561.0)","(1323.0, 903.0)","(1629.0, 777.0)",0.0,0.0,"(1944.0, 618.0)"
05082019-Bear4,10,8,400.1173452876044,40.85208073036183,5,2,1,"(1488.0, 915.0)",1,"(1466.0, 767.0)",1,"(1642.0, 852.0)",1,"(1630.0, 696.0)",0,0,1,"(1668.0, 649.0)",1,"(1967.0, 666.0)",1,"(1985.0, 561.0)","(1290.0, 915.0)","(1629.0, 777.0)",0.0,0.0,"(1944.0, 618.0)"
05082019-Bear4,10,9,400.1173452876044,40.85208073036183,5,1,1,"(1488.0, 915.0)",1,"(1446.0, 777.0)",1,"(1642.0, 852.0)",1,"(1587.0, 719.0)",0,0,1,"(1668.0, 649.0)",1,"(1967.0, 666.0)",0,0,"(1290.0, 915.0)","(1629.0, 777.0)",14.097606179773928,704.8803089886964,"(1899.0, 651.0)"
05082019-Bear4,10,10,400.1173452876044,40.85208073036183,5,1,1,"(1482.0, 915.0)",1,"(1446.0, 777.0)",1,"(1642.0, 852.0)",1,"(1587.0, 719.0)",0,0,1,"(1668.0, 649.0)",1,"(1967.0, 666.0)",0,0,"(1290.0, 915.0)","(1605.0, 786.0)",0.0,0.0,"(1899.0, 651.0)"
05082019-Bear4,10,11,400.1173452876044,40.85208073036183,5,1,1,"(1482.0, 915.0)",1,"(1446.0, 777.0)",1,"(1642.0, 852.0)",1,"(1587.0, 719.0)",0,0,1,"(1668.0, 649.0)",1,"(1967.0, 666.0)",0,0,"(1290.0, 915.0)","(1605.0, 786.0)",0.0,0.0,"(1899.0, 651.0)"
