Track,Slice,X,Y,Distance,Velocity,Pixel Value
0,370,1017,1044,-1,-1,87
0,500,75,1128,122,61,82
1,501,51,1071,7.978,3.989,84
1,501,615,981,73.677,36.838,85
1,490,195,1113,56.793,28.396,76
1,490,246,1092,7.115,3.557,101
2,338,936,1038,-1,-1,82
2,339,936,1038,0,0,96
2,340,936,1038,0,0,82
2,341,936,1038,0,0,85
2,342,936,1038,0,0,94
2,343,936,1038,0,0,96
2,344,936,1038,0,0,84
2,345,936,1038,0,0,84
2,346,936,1038,0,0,85
2,347,903,1032,4.327,2.163,74
2,348,903,1032,0,0,75
2,349,903,1032,0,0,77
2,350,903,1032,0,0,77
2,351,903,1032,0,0,77
2,352,903,1032,0,0,71
2,353,903,1032,0,0,85
2,354,891,1026,1.731,0.865,62
2,355,891,1026,0,0,61
2,356,891,1026,0,0,61
2,357,891,1026,0,0,59
2,358,891,1026,0,0,62
2,359,891,1026,0,0,87
2,360,891,1026,0,0,90
2,361,891,1026,0,0,84
2,362,879,1020,1.731,0.865,69
2,363,879,1020,0,0,77
2,364,879,1020,0,0,84
2,365,879,1020,0,0,81
2,366,879,1020,0,0,91
2,367,879,1041,2.709,1.355,81
2,368,879,1041,0,0,93
2,369,879,1041,0,0,80
2,370,879,1041,0,0,75
2,371,879,1041,0,0,78
2,372,879,1041,0,0,80
2,373,879,1041,0,0,101
2,386,702,1065,23.042,11.521,78
2,387,702,1065,0,0,86
2,388,702,1065,0,0,86
2,389,702,1065,0,0,86
2,390,702,1065,0,0,96
2,391,702,1065,0,0,72
2,392,702,1065,0,0,72
2,393,702,1065,0,0,73
2,394,702,1065,0,0,73
2,395,702,1065,0,0,93
2,396,702,1065,0,0,107
2,397,702,1065,0,0,107
2,398,702,1065,0,0,112
2,399,702,1065,0,0,100
2,400,702,1065,0,0,82
2,401,702,1065,0,0,86
2,402,702,1065,0,0,96
2,403,702,1065,0,0,96
2,404,702,1065,0,0,91
2,405,702,1065,0,0,84
2,406,702,1065,0,0,97
2,407,684,1068,2.354,1.177,102
2,408,684,1068,0,0,98
2,409,684,1068,0,0,97
2,410,684,1068,0,0,107
2,411,684,1068,0,0,89
2,412,684,1068,0,0,85
2,422,558,1017,17.535,8.767,101
2,423,558,1017,0,0,90
2,424,558,1017,0,0,93
2,425,558,1017,0,0,103
2,426,558,1017,0,0,104
2,427,558,1017,0,0,89
2,428,558,1017,0,0,101
2,429,558,1017,0,0,101
2,430,558,1017,0,0,100
2,431,537,1017,2.709,1.355,82
2,432,537,1017,0,0,79
2,433,537,1017,0,0,81
2,434,504,1017,4.257,2.128,92
2,435,504,1017,0,0,101
2,436,504,1017,0,0,101
2,437,504,1017,0,0,99
2,438,504,1017,0,0,101
2,439,504,1017,0,0,101
2,440,504,1017,0,0,103
2,441,504,1017,0,0,103
2,442,504,1017,0,0,103
2,443,504,1017,0,0,103
2,459,375,1038,16.86,8.43,95
2,460,375,1038,0,0,84
2,461,375,1038,0,0,84
2,462,375,1038,0,0,84
2,463,375,1038,0,0,68
2,464,375,1038,0,0,87
2,465,375,1038,0,0,87
2,466,375,1038,0,0,75
2,467,369,1041,0.865,0.433,83
2,468,369,1041,0,0,88
2,469,372,1056,1.973,0.987,84
2,470,372,1056,0,0,89
2,471,372,1056,0,0,91
2,472,372,1056,0,0,82
2,473,342,1062,3.947,1.973,112
2,474,342,1062,0,0,106
2,475,342,1062,0,0,106
2,476,342,1062,0,0,97
2,477,342,1062,0,0,90
2,478,327,1074,2.478,1.239,91
2,479,327,1074,0,0,91
2,490,201,1101,16.623,8.311,73
2,491,201,1101,0,0,73
2,492,201,1101,0,0,81
2,493,201,1101,0,0,88
2,494,201,1101,0,0,88
2,495,201,1101,0,0,95
2,496,201,1101,0,0,81
2,497,201,1101,0,0,81
2,498,201,1101,0,0,79
2,499,201,1101,0,0,91
2,500,201,1101,0,0,91
2,501,201,1101,0,0,92
2,502,201,1101,0,0,101
2,503,201,1101,0,0,98
2,504,201,1101,0,0,88
2,505,201,1101,0,0,83
3,360,885,888,-1,-1,102
3,361,885,888,0,0,111
3,362,885,888,0,0,111
3,363,885,888,0,0,107
3,364,885,888,0,0,106
3,365,885,888,0,0,103
3,366,885,888,0,0,96
3,367,885,888,0,0,96
3,371,747,966,20.449,10.224,102
3,372,747,966,0,0,106
3,373,747,966,0,0,79
3,374,747,966,0,0,91
3,375,747,966,0,0,78
3,376,747,966,0,0,80
3,377,747,966,0,0,80
3,378,747,948,2.322,1.161,87
3,379,747,948,0,0,81
3,380,747,948,0,0,86
3,381,747,948,0,0,86
3,382,747,948,0,0,86
3,383,753,930,2.448,1.224,79
3,384,753,930,0,0,89
3,385,753,930,0,0,81
3,386,726,951,4.412,2.206,90
3,387,726,951,0,0,91
3,388,726,951,0,0,91
3,389,726,951,0,0,106
3,390,726,951,0,0,128
3,391,726,951,0,0,114
3,392,726,951,0,0,114
3,393,726,951,0,0,112
3,394,726,951,0,0,106
3,395,726,951,0,0,94
3,396,726,951,0,0,74
3,397,708,954,2.354,1.177,103
3,398,708,954,0,0,102
3,399,708,954,0,0,98
3,400,708,954,0,0,91
3,401,708,954,0,0,84
3,411,618,933,11.922,5.961,87
3,412,618,933,0,0,105
3,413,618,933,0,0,103
3,414,618,933,0,0,92
3,415,618,933,0,0,86
3,416,618,933,0,0,82
3,417,618,933,0,0,85
3,418,618,933,0,0,79
3,419,618,933,0,0,105
3,420,618,933,0,0,86
3,421,618,933,0,0,95
3,422,606,918,2.478,1.239,80
3,423,606,918,0,0,85
3,424,606,918,0,0,105
3,425,606,918,0,0,92
3,426,582,897,4.114,2.057,91
3,427,582,897,0,0,86
3,428,582,897,0,0,90
3,429,582,897,0,0,90
3,430,582,897,0,0,95
3,431,582,897,0,0,68
3,432,582,897,0,0,55
3,433,555,897,3.483,1.742,83
3,434,555,897,0,0,101
3,435,555,897,0,0,95
3,436,555,897,0,0,95
3,437,555,897,0,0,94
3,438,549,900,0.865,0.433,110
3,439,549,900,0,0,113
3,440,549,900,0,0,116
3,441,549,900,0,0,112
3,442,549,900,0,0,112
3,449,426,936,16.533,8.266,93
3,450,426,936,0,0,90
3,451,426,936,0,0,90
3,452,426,936,0,0,84
3,453,426,936,0,0,82
3,454,426,936,0,0,87
3,455,426,936,0,0,89
3,456,426,936,0,0,91
3,457,426,936,0,0,89
3,458,423,933,0.547,0.274,95
3,459,423,933,0,0,81
3,460,423,933,0,0,96
3,461,423,933,0,0,95
3,462,384,936,5.046,2.523,79
3,463,384,936,0,0,81
3,464,384,936,0,0,97
3,465,384,936,0,0,94
3,475,243,975,18.872,9.436,88
3,476,243,975,0,0,79
3,477,243,975,0,0,93
3,478,243,975,0,0,89
3,479,243,975,0,0,89
3,480,243,975,0,0,91
3,481,243,975,0,0,93
3,482,243,975,0,0,85
3,483,243,975,0,0,105
3,484,243,975,0,0,104
3,485,243,975,0,0,104
3,486,243,975,0,0,103
3,487,243,975,0,0,102
3,488,243,975,0,0,102
3,489,243,975,0,0,99
3,490,243,975,0,0,89
3,491,243,975,0,0,89
3,492,243,975,0,0,97
3,493,213,966,4.04,2.02,101
3,494,219,975,1.395,0.698,93
3,495,219,975,0,0,94
3,496,219,975,0,0,90
3,497,219,975,0,0,90
3,498,219,975,0,0,90
3,499,219,975,0,0,87
3,500,219,975,0,0,90
3,501,219,975,0,0,93
3,502,219,975,0,0,83
3,503,219,975,0,0,89
4,356,936,1035,-1,-1,91
4,357,936,1035,0,0,94
4,358,936,1035,0,0,98
4,359,936,1035,0,0,93
4,360,936,1035,0,0,87
