bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_AEP,R4_PEP
Bear15,1,410.5948002593311,43.310535669742066,,15.0,,,,,,,,"(903, 957)",,,3.0,,,,,,,,"(1023, 1047)",,59.0,73.0,0.28,0.94,1.22,0.7704918032786885,102.59232427428478,38.519637848764894,151.48581616771915,"(876, 927)","(789, 1092)",51.0,70.0,0.38,1.16,1.54,0.7532467532467532,89.72420242052868,45.06645093636729,169.62128404183247,"(1035, 1080)","(948, 1218)",30.0,48.0,0.36,0.98,1.34,0.7313432835820894,83.28823446321816,23.450906165860623,136.7510603249569,"(753, 1152)","(669, 1278)",17.0,32.0,0.3,1.18,1.48,0.7972972972972973,74.25,37.07913833950299,112.87736708481468,"(906, 1290)","(825, 1398)",64.0,94.0,0.6,0.56,1.16,0.4827586206896553,87.46556465261057,27.0620121203136,136.42217561672294,"(714, 1329)","(621, 1458)",41.0,79.0,0.76,0.28,1.04,0.2692307692307693,83.2391884871543,9.9,63.66947855919664,"(795, 1422)","(699, 1539)"
Bear15,1,410.5948002593311,43.310535669742066,75.0,91.0,0.32,0.94,1.26,0.7460317460317459,109.2494393578292,39.66869042456532,142.5603819439328,"(1110, 825)","(930, 909)",97.0,116.0,0.38,0.78,1.16,0.6724137931034484,105.03128105474104,38.09320805603014,111.1394731857228,"(1251, 840)","(1119, 978)",120.0,137.0,0.34,0.76,1.1,0.6909090909090908,117.04537581639013,38.09320805603014,143.42667115986484,"(1107, 777)","(945, 915)",128.0,143.0,0.3,1.04,1.34,0.7761194029850746,126.20073296142141,25.61488824882904,134.6545580364809,"(1281, 894)","(1110, 1047)",97.0,117.0,0.4,0.74,1.14,0.6491228070175439,113.65853465534386,27.0620121203136,145.3499226005986,"(918, 966)","(786, 1125)",91.0,107.0,0.32,1.04,1.36,0.7647058823529411,76.0612417726663,63.17582607295294,152.3192207175444,"(1032, 1128)","(942, 1233)",122.0,151.0,0.58,0.34,0.92,0.3695652173913044,109.5107871398978,22.442426339413487,136.55183081892386,"(846, 1119)","(744, 1290)",93.0,127.0,0.68,0.12,0.8,0.15,59.14737948548524,13.302725284692606,138.29520056748171,"(855, 1323)","(813, 1422)"
Bear15,1,410.5948002593311,43.310535669742066,138.0,155.0,0.34,0.7,1.04,0.673076923076923,103.4248640318178,33.36918488665853,145.95739960687158,"(1317, 669)","(1161, 774)",155.0,165.0,0.2,1.0,1.2,0.8333333333333334,77.56755120538486,50.8296419424729,144.01390557859338,"(1443, 777)","(1320, 846)",175.0,190.0,0.3,0.86,1.16,0.7413793103448276,105.56132104137389,33.0412242509263,149.20416381589357,"(1347, 675)","(1173, 756)",195.0,,,,,,,,,,"(1326, 906)",154.0,171.0,0.34,0.76,1.1,0.6909090909090908,118.30626568360613,17.539740591012173,129.9735069158327,"(1122, 798)","(957, 936)",159.0,176.0,0.34,1.14,1.48,0.7702702702702702,89.16109016830157,46.02287474723846,157.79729085126903,"(1245, 951)","(1119, 1053)",168.0,210.0,0.84,0.46,1.3,0.3538461538461539,114.33916651786474,20.674440742133754,168.08957433463863,"(1017, 939)","(870, 1086)",133.0,170.0,0.74,0.56,1.3,0.4307692307692308,126.3085507794306,18.81289451413578,135.03816127302682,"(1002, 1119)","(876, 1311)"
Bear15,1,410.5948002593311,43.310535669742066,190.0,205.0,0.3,0.84,1.14,0.736842105263158,112.63591789478168,43.68606757308329,156.88888583962856,"(1581, 642)","(1377, 660)",215.0,,,,,,,,,,"(1533, 798)",233.0,,,,,,,,,,"(1407, 672)",,,,,,,,,,,,209.0,,,,,,,,,,"(1146, 777)",233.0,,,,,,,,,,"(1326, 930)",233.0,,,,,,,,,,"(1050, 921)",198.0,,,,,,,,,,"(1023, 1092)"
Bear15,1,410.5948002593311,43.310535669742066,247.0,,,,,,,,,,"(1659, 627)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear15,2,431.2343736299322,39.115789650728004,58.0,72.0,0.28,1.08,1.36,0.7941176470588235,109.06237893976092,50.2641024987018,163.68299392423148,"(1029, 975)","(993, 780)",27.0,41.0,0.28,0.9,1.18,0.7627118644067797,80.4449035054428,42.421368436202066,119.18894663516413,"(864, 894)","(801, 762)",35.0,50.0,0.3,1.06,1.36,0.7794117647058824,101.41797178015345,35.61860468912279,159.16300606610824,"(978, 735)","(909, 564)",,9.0,,,,,,,,"(777, 696)",,7.0,22.0,0.3,1.2,1.5,0.7999999999999999,87.26300762637051,47.62186997588398,137.34701489293462,"(912, 513)","(870, 360)",28.0,44.0,0.32,1.34,1.66,0.8072289156626506,98.84863428495106,48.52795586051406,155.07366797751322,"(735, 642)","(690, 468)",3.0,20.0,0.34,0.68,1.02,0.6666666666666667,36.89512162874653,34.0156214113457,128.4247055671143,"(762, 204)","(774, 138)",,9.0,,,,,,,,"(660, 213)",
Bear15,2,431.2343736299322,39.115789650728004,126.0,141.0,0.3,1.4,1.7,0.8235294117647058,114.23196794242844,37.07913833950299,135.92234915568523,"(1104, 1263)","(1065, 1059)",86.0,101.0,0.3,1.04,1.34,0.7761194029850746,77.47975542036772,62.72170676886911,166.6826700650071,"(945, 1095)","(882, 969)",103.0,122.0,0.38,1.44,1.82,0.7912087912087912,123.66196868884144,30.33488091290289,152.88120388066025,"(1065, 1011)","(993, 798)",65.0,83.0,0.36,0.98,1.34,0.7313432835820894,113.75430761074502,39.737262110014576,146.19037246002213,"(846, 909)","(762, 720)",82.0,101.0,0.38,1.04,1.42,0.7323943661971831,89.76970535765395,70.48803089886964,148.24311113842694,"(981, 753)","(933, 597)",111.0,127.0,0.32,1.22,1.54,0.7922077922077921,108.84998851630623,32.87601709453261,154.87164039939654,"(834, 906)","(786, 714)",54.0,89.0,0.7,0.58,1.28,0.453125,94.6847004536636,21.702361622643746,145.62126390057188,"(843, 423)","(777, 264)",43.0,69.0,0.52,0.14,0.66,0.21212121212121213,73.06724642409895,0.0,77.83034433946698,"(681, 384)","(666, 252)"
Bear15,2,431.2343736299322,39.115789650728004,211.0,223.0,0.24,1.1,1.34,0.8208955223880597,103.37220371066877,27.461473012203847,118.06438921198892,"(1239, 1470)","(1161, 1299)",153.0,167.0,0.28,1.3,1.58,0.8227848101265822,111.66490048354495,38.27146456565257,136.51195002636214,"(1056, 1377)","(942, 1209)",194.0,210.0,0.32,0.94,1.26,0.7460317460317459,122.6450671653777,21.513367937168738,117.47490157476193,"(1152, 1275)","(1086, 1062)",132.0,150.0,0.36,1.24,1.6,0.7749999999999999,107.5668396858437,33.653528789712375,145.36865205401062,"(921, 1164)","(852, 981)",153.0,168.0,0.3,1.28,1.58,0.810126582278481,78.03994169654409,36.63594546343796,136.56179919728652,"(1059, 1011)","(1026, 873)",188.0,204.0,0.32,1.06,1.38,0.7681159420289856,122.0665494719991,34.0156214113457,132.09277989352788,"(903, 1179)","(852, 963)",118.0,148.0,0.6,0.88,1.48,0.5945945945945946,124.39730704480705,18.447560814373265,101.31053745785776,"(933, 672)","(849, 462)",76.0,102.0,0.52,0.68,1.2,0.5666666666666668,77.83034433946698,43.68606757308329,152.37283222412057,"(756, 504)","(681, 384)"
Bear15,2,431.2343736299322,39.115789650728004,278.0,294.0,0.32,0.84,1.16,0.7241379310344828,90.8099801783923,24.361958049385123,93.8181352404747,"(1335, 1662)","(1266, 1512)",232.0,255.0,0.46,1.04,1.5,0.6933333333333334,106.94495079245209,34.689263468687265,148.28901678816268,"(1167, 1599)","(1047, 1446)",257.0,273.0,0.32,1.56,1.88,0.8297872340425533,99.0137490452715,28.387673381240674,171.29034561235494,"(1257, 1461)","(1185, 1296)",212.0,229.0,0.34,1.22,1.56,0.7820512820512819,113.19048104854048,31.35,146.85926937037374,"(1038, 1401)","(933, 1224)",232.0,248.0,0.32,1.16,1.48,0.7837837837837838,100.81216444457485,40.58463379162119,117.6601568076467,"(1164, 1236)","(1098, 1065)",257.0,278.0,0.42,1.08,1.5,0.7200000000000001,98.14379756255613,45.0362354110554,155.71314973373316,"(1008, 1395)","(927, 1236)",192.0,220.0,0.56,0.48,1.04,0.4615384615384615,82.97712034048904,37.62578902827156,114.89735636645432,"(984, 849)","(939, 705)",136.0,172.0,0.72,1.02,1.74,0.5862068965517242,109.11229307461191,49.22423183758179,144.64581743002458,"(840, 768)","(771, 582)"
Bear15,2,431.2343736299322,39.115789650728004,,,,,,,,,,,,307.0,327.0,0.4,1.06,1.46,0.726027397260274,120.22376013084936,52.41185457508635,142.66814587867398,"(1320, 1821)","(1170, 1662)",,,,,,,,,,,,290.0,306.0,0.32,0.98,1.3,0.7538461538461538,119.90630717355947,34.45301147940481,144.15561903720578,"(1161, 1638)","(1038, 1458)",,,,,,,,,,,,,,,,,,,,,,,244.0,279.0,0.7,0.74,1.44,0.513888888888889,77.33907485870256,30.424496709066528,115.88827593850901,"(1029, 1053)","(1002, 915)",223.0,256.0,0.66,0.62,1.28,0.484375,95.48639955511992,22.013745705808454,135.1087062331662,"(891, 1026)","(861, 855)"
