,bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
0,Bear15,1,410.5948003,43.31053567,,16,,,,,,,,,"(903, 957)",,,4,,,,,,,,,"(1023, 1047)",,60,74,0.28,0.94,1.22,0.770491803,102.5923243,38.51963785,151.4858162,95.65241892,"(876, 927)","(789, 1092)",52,71,0.38,1.16,1.54,0.753246753,89.72420242,45.06645094,169.621284,109.8567017,"(1035, 1080)","(948, 1218)",31,49,0.36,0.98,1.34,0.731343284,83.28823446,23.45090617,136.7510603,74.86931698,"(753, 1152)","(669, 1278)",18,33,0.3,1.18,1.48,0.797297297,74.25,37.07913834,112.8773671,90.75027392,"(906, 1290)","(825, 1398)",65,95,0.6,0.56,1.16,0.482758621,87.46556465,27.06201212,136.4221756,100.5999578,"(714, 1329)","(621, 1458)",42,80,0.76,0.28,1.04,0.269230769,83.23918849,9.9,63.66947856,89.1995889,"(795, 1422)","(699, 1539)"
1,Bear15,1,410.5948003,43.31053567,76,92,0.32,0.94,1.26,0.746031746,109.2494394,39.66869042,142.5603819,110.8231671,"(1110, 825)","(930, 909)",98,117,0.38,0.78,1.16,0.672413793,105.0312811,38.09320806,111.1394732,131.7403995,"(1251, 840)","(1119, 978)",121,138,0.34,0.76,1.1,0.690909091,117.0453758,38.09320806,143.4266712,131.487642,"(1107, 777)","(945, 915)",129,144,0.3,1.04,1.34,0.776119403,126.200733,25.61488825,134.654558,107.0702372,"(1281, 894)","(1110, 1047)",98,118,0.4,0.74,1.14,0.649122807,113.6585347,27.06201212,145.3499226,134.0516345,"(918, 966)","(786, 1125)",92,108,0.32,1.04,1.36,0.764705882,76.06124177,63.17582607,152.3192207,119.1814576,"(1032, 1128)","(942, 1233)",123,152,0.58,0.34,0.92,0.369565217,109.5107871,22.44242634,136.5518308,125.9272086,"(846, 1119)","(744, 1290)",94,128,0.68,0.12,0.8,0.15,59.14737949,13.30272528,138.2952006,111.0115598,"(855, 1323)","(813, 1422)"
2,Bear15,1,410.5948003,43.31053567,139,156,0.34,0.7,1.04,0.673076923,103.424864,33.36918489,145.9573996,109.5745749,"(1317, 669)","(1161, 774)",156,166,0.2,1,1.2,0.833333333,77.56755121,50.82964194,144.0139056,104.9423205,"(1443, 777)","(1320, 846)",176,191,0.3,0.86,1.16,0.74137931,105.561321,33.04122425,149.2041638,98.47583443,"(1347, 675)","(1173, 756)",196,,,,,,,,,,,"(1326, 906)",155,172,0.34,0.76,1.1,0.690909091,118.3062657,17.53974059,129.9735069,97.78803608,"(1122, 798)","(957, 936)",160,177,0.34,1.14,1.48,0.77027027,89.16109017,46.02287475,157.7972909,100.616168,"(1245, 951)","(1119, 1053)",169,211,0.84,0.46,1.3,0.353846154,114.3391665,20.67444074,168.0895743,108.9839913,"(1017, 939)","(870, 1086)",134,171,0.74,0.56,1.3,0.430769231,126.3085508,18.81289451,135.0381613,110.3647061,"(1002, 1119)","(876, 1311)"
3,Bear15,1,410.5948003,43.31053567,191,206,0.3,0.84,1.14,0.736842105,112.6359179,43.68606757,156.8888858,115.2545208,"(1581, 642)","(1377, 660)",216,,,,,,,,,,,"(1533, 798)",234,,,,,,,,,,,"(1407, 672)",,,,,,,,,,,,,210,,,,,,,,,,,"(1146, 777)",234,,,,,,,,,,,"(1326, 930)",,,,,,,,,,,,,199,,,,,,,,,,,"(1023, 1092)"
4,Bear15,1,410.5948003,43.31053567,248,,,,,,,,,,,"(1659, 627)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bear15,2,431.2343736,39.11578965,59,73,0.28,1.08,1.36,0.794117647,109.0623789,50.2641025,163.6829939,103.658869,"(1029, 975)","(993, 780)",28,42,0.28,0.9,1.18,0.762711864,80.44490351,42.42136844,119.1889466,106.2159758,"(864, 894)","(801, 762)",36,51,0.3,1.06,1.36,0.779411765,101.4179718,35.61860469,159.1630061,88.32486263,"(978, 735)","(909, 564)",,10,,,,,,,,,"(777, 696)",,8,23,0.3,1.2,1.5,0.8,87.26300763,47.62186998,137.3470149,93.68100128,"(912, 513)","(870, 360)",29,45,0.32,1.34,1.66,0.807228916,98.84863428,48.52795586,155.073668,89.59577718,"(735, 642)","(690, 468)",4,21,0.34,0.68,1.02,0.666666667,36.89512163,34.01562141,128.4247056,98.88839345,"(762, 204)","(774, 138)",,10,,,,,,,,,"(660, 213)",
6,Bear15,2,431.2343736,39.11578965,127,142,0.3,1.4,1.7,0.823529412,114.2319679,37.07913834,135.9223492,92.40999081,"(1104, 1263)","(1065, 1059)",87,102,0.3,1.04,1.34,0.776119403,77.47975542,62.72170677,166.6826701,110.5880639,"(945, 1095)","(882, 969)",104,123,0.38,1.44,1.82,0.791208791,123.6619687,30.33488091,152.8812039,98.05468859,"(1065, 1011)","(993, 798)",66,84,0.36,0.98,1.34,0.731343284,113.7543076,39.73726211,146.1903725,107.4730639,"(846, 909)","(762, 720)",83,102,0.38,1.04,1.42,0.732394366,89.76970536,70.4880309,148.2431111,122.3606546,"(981, 753)","(933, 597)",112,128,0.32,1.22,1.54,0.792207792,108.8499885,32.87601709,154.8716404,94.86832981,"(834, 906)","(786, 714)",55,90,0.7,0.58,1.28,0.453125,94.68470045,21.70236162,145.6212639,92.95561882,"(843, 423)","(777, 264)",44,70,0.52,0.14,0.66,0.212121212,73.06724642,0,77.83034434,82.5378701,"(681, 384)","(666, 252)"
7,Bear15,2,431.2343736,39.11578965,212,224,0.24,1.1,1.34,0.820895522,103.3722037,27.46147301,118.0643892,101.5391684,"(1239, 1470)","(1161, 1299)",154,168,0.28,1.3,1.58,0.82278481,111.6649005,38.27146457,136.51195,81.4556962,"(1056, 1377)","(942, 1209)",195,211,0.32,0.94,1.26,0.746031746,122.6450672,21.51336794,117.4749016,98.41487453,"(1152, 1275)","(1086, 1062)",133,151,0.36,1.24,1.6,0.775,107.5668397,33.65352879,145.3686521,83.17400459,"(921, 1164)","(852, 981)",154,169,0.3,1.28,1.58,0.810126582,78.0399417,36.63594546,136.5617992,81.4556962,"(1059, 1011)","(1026, 873)",189,205,0.32,1.06,1.38,0.768115942,122.0665495,34.01562141,132.0927799,101.0662087,"(903, 1179)","(852, 963)",119,149,0.6,0.88,1.48,0.594594595,124.397307,18.44756081,101.3105375,95.90430196,"(933, 672)","(849, 462)",77,103,0.52,0.68,1.2,0.566666667,77.83034434,43.68606757,152.3728322,114.8433716,"(756, 504)","(681, 384)"
8,Bear15,2,431.2343736,39.11578965,279,295,0.32,0.84,1.16,0.724137931,90.80998018,24.36195805,93.81813524,90.51068326,"(1335, 1662)","(1266, 1512)",233,256,0.46,1.04,1.5,0.693333333,106.9449508,34.68926347,148.2890168,86.12374818,"(1167, 1599)","(1047, 1446)",258,274,0.32,1.56,1.88,0.829787234,99.01374905,28.38767338,171.2903456,92.75827883,"(1257, 1461)","(1185, 1296)",213,230,0.34,1.22,1.56,0.782051282,113.190481,31.35,146.8592694,102.3559838,"(1038, 1401)","(933, 1224)",233,249,0.32,1.16,1.48,0.783783784,100.8121644,40.58463379,117.6601568,87.28758261,"(1164, 1236)","(1098, 1065)",258,279,0.42,1.08,1.5,0.72,98.14379756,45.03623541,155.7131497,102.3413895,"(1008, 1395)","(927, 1236)",193,221,0.56,0.48,1.04,0.461538462,82.97712034,37.62578903,114.8973564,110.0330479,"(984, 849)","(939, 705)",137,173,0.72,1.02,1.74,0.586206897,109.1122931,49.22423184,144.6458174,87.3495394,"(840, 768)","(771, 582)"
9,Bear15,2,431.2343736,39.11578965,,,,,,,,,,,,,308,328,0.4,1.06,1.46,0.726027397,120.2237601,52.41185458,142.6681459,96.37358698,"(1320, 1821)","(1170, 1662)",,,,,,,,,,,,,291,307,0.32,0.98,1.3,0.753846154,119.9063072,34.45301148,144.155619,80.85308834,"(1161, 1638)","(1038, 1458)",,,,,,,,,,,,,,,,,,,,,,,,,245,280,0.7,0.74,1.44,0.513888889,77.33907486,30.42449671,115.8882759,85.5777191,"(1029, 1053)","(1002, 915)",224,257,0.66,0.62,1.28,0.484375,95.48639956,22.01374571,135.1087062,99.89194754,"(891, 1026)","(861, 855)"
