bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
Bear16,1,305.7624077613205,34.33427587702994,2,18,0.32,1.16,1.48,0.7837837837837838,61.78142924860189,21.450000000000003,88.85521931771932,65.54988265823518,"(1008, 1473)","(915, 1536)",32,50,0.36,1.32,1.68,0.7857142857142858,46.6982066036802,18.447560814373265,106.65179323386927,44.67400698963777,"(1137, 1560)","(1065, 1605)",22,37,0.3,1.6,1.9,0.8421052631578948,77.56755120538486,26.08879069638913,93.76007945815746,49.62173396803522,"(972, 1497)","(849, 1566)",88,103,0.3,1.3,1.6,0.8125,55.46552983610633,25.1320512493509,88.00859333042429,50.93999227031743,"(1143, 1566)","(1056, 1617)",,2,,,,,,,,,"(774, 1662)",,,2,,,,,,,,,"(912, 1761)",,,3,,,,,,,,,"(696, 1881)",,6,29,0.46,0.62,1.08,0.5740740740740741,43.592487884955595,14.000714267493642,47.248809508811966,51.94444444444444,"(795, 1857)","(756, 1926)"
Bear16,1,305.7624077613205,34.33427587702994,76,94,0.36,1.22,1.58,0.7721518987341771,67.40810411219114,16.334166645409248,71.63736804210495,55.59385374541816,"(1158, 1413)","(1044, 1458)",116,148,0.64,1.02,1.66,0.6144578313253013,88.44061566949883,19.868631055007288,88.00859333042429,70.97015794214902,"(1296, 1449)","(1167, 1545)",117,133,0.32,1.32,1.64,0.8048780487804879,67.89103401775525,23.796638418062333,89.84549237440909,71.83564767315083,"(1122, 1416)","(1011, 1470)",168,184,0.32,1.12,1.44,0.7777777777777779,63.1542753897153,24.750000000000004,94.6847004536636,58.33630944789019,"(1281, 1485)","(1185, 1548)",50,64,0.28,1.4,1.68,0.8333333333333333,61.78142924860189,31.52320573799562,96.67648369691567,46.3275859163494,"(888, 1536)","(825, 1629)",64,81,0.34,1.4,1.74,0.8045977011494252,58.38295984274864,15.65327441783348,78.26637208916739,44.57905241688785,"(1035, 1641)","(957, 1713)",29,52,0.46,0.58,1.04,0.5576923076923076,38.51963784876489,19.312754852687384,62.26427547157359,54.26796494462244,"(756, 1794)","(705, 1842)",60,76,0.32,0.66,0.98,0.6734693877551021,34.453011479404815,16.334166645409248,59.514473029675734,52.868419331382675,"(831, 1779)","(813, 1839)"
Bear16,1,305.7624077613205,34.33427587702994,155,185,0.6,1.34,1.94,0.6907216494845362,55.440982134157764,20.871032557111306,107.5668396858437,60.15255210648129,"(1239, 1311)","(1179, 1392)",199,211,0.24,1.18,1.42,0.8309859154929577,68.6288933321819,20.073116349984126,63.69085491654199,51.92597169434106,"(1377, 1311)","(1320, 1422)",199,224,0.5,1.3,1.8,0.7222222222222222,66.7587634696749,17.84747881354675,88.67119036079306,40.96382211442461,"(1236, 1299)","(1158, 1392)",240,253,0.26,1.74,2.0,0.87,70.04245141341072,31.6954649752926,81.70416146072365,61.83648801476359,"(1395, 1356)","(1308, 1449)",134,148,0.28,1.58,1.86,0.8494623655913979,68.3107970967987,35.42700241341342,103.09529572196784,65.34477918313931,"(1044, 1455)","(945, 1530)",151,169,0.36,1.04,1.4,0.7428571428571429,70.00357133746822,24.024362634625714,93.8036246634425,74.17513232278081,"(1152, 1560)","(1062, 1650)",81,105,0.48,0.78,1.26,0.6190476190476191,43.56124998206548,30.42449670906653,54.1240242406272,55.712505059049796,"(816, 1698)","(768, 1761)",109,138,0.58,0.66,1.24,0.5322580645161291,43.18463268339792,13.302725284692608,66.0,67.86290322580646,"(909, 1704)","(852, 1758)"
Bear16,1,305.7624077613205,34.33427587702994,252,268,0.32,2.4,2.72,0.8823529411764705,88.70188836772306,14.758048651498614,91.34802953539831,43.75223208591763,"(1368, 1164)","(1251, 1275)",270,290,0.4,1.46,1.86,0.7849462365591398,46.727347453070784,30.289973588631604,94.51202304468994,40.893140737992645,"(1470, 1242)","(1413, 1305)",289,308,0.38,2.5,2.88,0.8680555555555556,71.2563155095743,34.015621411345705,105.72882766776524,44.21491566610878,"(1350, 1185)","(1254, 1272)",340,360,0.4,0.78,1.18,0.6610169491525424,50.50725195454609,25.61488824882904,76.4361498245431,24.420348452835107,"(1503, 1254)","(1431, 1311)",227,242,0.3,1.56,1.86,0.8387096774193549,68.84673194858273,25.186156912081685,84.00428560496186,56.45449301408726,"(1188, 1335)","(1101, 1425)",221,231,0.2,1.3,1.5,0.8666666666666667,72.37465025822232,18.22484567835898,73.27189092687591,46.69496760894048,"(1284, 1452)","(1194, 1548)",144,166,0.44,0.42,0.86,0.4883720930232558,25.1320512493509,23.450906165860626,77.14522020190233,85.56632592933326,"(894, 1638)","(852, 1656)",171,196,0.5,0.22,0.72,0.3055555555555556,54.848541457362394,0.0,41.25,63.71492771626512,"(1005, 1632)","(933, 1701)"
Bear16,1,305.7624077613205,34.33427587702994,388,401,0.26,0.94,1.2,0.7833333333333333,76.70281937451844,17.771043863543863,95.20085346256094,49.8046182597558,"(1425, 1008)","(1380, 1140)",363,377,0.28,1.72,2.0,0.86,75.9,23.624404754405983,87.69870295506085,58.737450787380965,"(1518, 1077)","(1518, 1215)",433,448,0.3,0.58,0.88,0.6590909090909091,72.31820310267672,31.738383701757723,90.76499876053545,78.32474465327033,"(1425, 1008)","(1365, 1125)",399,411,0.24,1.82,2.06,0.883495145631068,50.829641942472904,22.198479677671624,85.20840126733864,58.470873786407765,"(1536, 1119)","(1515, 1209)",320,332,0.24,1.72,1.96,0.8775510204081632,59.788314075578356,11.898319209031166,56.82327868048447,36.26743645621197,"(1296, 1227)","(1227, 1311)",296,315,0.38,1.42,1.8,0.7888888888888889,58.33630944789018,25.77382393049196,75.25157805654312,44.72920062877146,"(1392, 1374)","(1317, 1449)",187,210,0.46,0.64,1.1,0.5818181818181818,54.1240242406272,7.000357133746821,61.38354828453631,30.777426793024787,"(999, 1545)","(921, 1605)",207,230,0.46,0.54,1.0,0.54,41.25,16.82676439485619,56.1,48.19017015948377,"(1065, 1587)","(1005, 1632)"
Bear16,1,305.7624077613205,34.33427587702994,448,459,0.22,0.9,1.12,0.8035714285714285,82.97712034048904,18.447560814373265,87.58998230391418,71.84091361210858,"(1581, 933)","(1437, 978)",463,476,0.26,0.66,0.92,0.717391304347826,64.07440986852708,7.000357133746821,60.51249870894442,32.97269664445966,"(1674, 1044)","(1560, 1068)",477,489,0.24,0.92,1.16,0.7931034482758622,59.032194605994455,25.240146592284287,85.86343808630073,47.025783052495335,"(1572, 933)","(1476, 981)",502,,,,,,,,,,,"(1563, 1089)",418,436,0.36,0.52,0.88,0.5909090909090909,46.95982325350044,10.565154991764201,80.19067900947093,43.61138756104878,"(1341, 1134)","(1314, 1215)",386,394,0.16,1.02,1.18,0.864406779661017,50.37231382416337,21.702361622643746,57.632022348690846,50.64876433195505,"(1476, 1266)","(1428, 1344)",242,266,0.48,0.52,1.0,0.52,54.47499426342329,0.0,45.30744971856174,66.59543903301487,"(1089, 1479)","(1008, 1536)",257,288,0.62,0.7,1.32,0.5303030303030303,40.28163353192122,26.08879069638913,68.84673194858273,58.443348637804796,"(1155, 1539)","(1095, 1581)"
Bear16,1,305.7624077613205,34.33427587702994,561,,,,,,,,,,,"(1779, 930)",509,,,,,,,,,,,"(1683, 1053)",535,,,,,,,,,,,"(1617, 942)",,,,,,,,,,,,,462,474,0.24,0.84,1.08,0.7777777777777777,69.63312789183034,13.200000000000001,71.08417545417545,75.23433043038692,"(1428, 1017)","(1353, 1119)",445,453,0.16,1.2,1.36,0.8823529411764705,37.07913833950299,16.5,75.64509761694396,59.929402670961686,"(1518, 1170)","(1482, 1227)",292,314,0.44,0.96,1.4,0.6857142857142857,45.30744971856174,24.361958049385116,50.18279087496032,45.125590052109246,"(1158, 1434)","(1089, 1479)",323,354,0.62,0.86,1.48,0.581081081081081,43.31053566974207,21.001071401240466,65.7106155807416,31.55284229978392,"(1242, 1449)","(1182, 1500)"
Bear16,1,305.7624077613205,34.33427587702994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,"(1452, 1017)",513,,,,,,,,,,,"(1536, 1146)",362,384,0.44,1.1,1.54,0.7142857142857143,28.05,24.750000000000004,73.67947475382816,38.94167538297053,"(1224, 1371)","(1179, 1395)",397,424,0.54,0.66,1.2,0.55,44.88485267882697,18.81289451413578,65.02339963428551,53.07571243045166,"(1317, 1356)","(1269, 1422)"
Bear16,1,305.7624077613205,34.33427587702994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,459,0.4,0.34,0.74,0.4594594594594595,48.974712862864244,3.3000000000000003,57.181487388839415,93.14293958767283,"(1299, 1260)","(1251, 1335)",457,475,0.36,0.82,1.18,0.6949152542372882,46.22945489620227,15.566068867893398,50.829641942472904,68.85853971594736,"(1386, 1260)","(1338, 1329)"
Bear16,1,305.7624077613205,34.33427587702994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,498,0.44,0.48,0.92,0.5217391304347826,54.848541457362394,3.6895121628746534,60.15853386685363,59.29337863140715,"(1371, 1185)","(1299, 1254)",516,534,0.36,0.24,0.6,0.4,36.89512162874653,12.012181317312857,57.83596351606338,77.440703121808,"(1440, 1185)","(1410, 1245)"
