bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
Bear10,1p2,377.97967207245426,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,,,,,,"(954, 1062)",,,,,,,,,,,,,
Bear10,1,377.97967207245426,41.25,,39,,,,,,,,,"(1527, 702)",,44,60,0.32,1.1,1.42,0.7746478873239437,82.91147387424735,24.8049390243153,103.37220371066877,89.67532191436148,"(1416, 615)","(1545, 537)",72,92,0.4,0.96,1.36,0.7058823529411764,84.32775343859221,22.013745705808454,89.31363277798077,73.91779779220853,"(1572, 702)","(1704, 624)",,48,,,,,,,,,"(1602, 474)",,45,66,0.42,1.08,1.5,0.7200000000000001,90.0271209136447,22.442426339413483,95.92731623474099,84.89263807892885,"(1755, 597)","(1878, 489)",63,81,0.36,1.2,1.56,0.7692307692307692,91.74949591142177,23.1,99.0137490452715,82.31673431642385,"(1611, 474)","(1743, 372)",,26,,,,,,,,,"(2007, 354)",,41,66,0.5,0.66,1.16,0.5689655172413793,49.50000000000001,22.13707297724792,78.26637208916739,79.31152782101233,"(1887, 303)","(1959, 249)"
Bear10,1,377.97967207245426,41.25,95,114,0.38,1.98,2.36,0.8389830508474576,97.14002779493119,24.8049390243153,126.54542662617249,51.9494333569981,"(1350, 777)","(1515, 714)",115,134,0.38,1.14,1.52,0.7499999999999999,80.64770610500959,19.24214125298949,82.06987876194287,47.57776519912942,"(1245, 693)","(1371, 618)",140,160,0.4,1.48,1.88,0.7872340425531915,67.95115893051421,20.14081676596061,94.51202304468994,64.64962195778678,"(1425, 771)","(1533, 711)",89,103,0.28,1.38,1.66,0.8313253012048193,86.05347174867497,24.361958049385116,92.53249429254569,61.8026049845089,"(1434, 573)","(1566, 489)",120,135,0.3,1.22,1.52,0.8026315789473684,73.88242348488578,9.621070626494745,78.24897762910388,47.57776519912942,"(1599, 675)","(1722, 621)",141,157,0.32,1.36,1.68,0.8095238095238096,78.38802523345004,17.771043863543863,93.41098704113988,59.71719330327246,"(1446, 546)","(1569, 474)",73,104,0.62,0.48,1.1,0.4363636363636363,69.31964007408003,12.012181317312857,74.56101528278704,79.83890029302758,"(1878, 453)","(1977, 375)",99,127,0.56,1.04,1.6,0.65,56.43868354240734,48.974712862864244,112.16359703575846,52.6745702551288,"(1770, 384)","(1851, 321)"
Bear10,1,377.97967207245426,41.25,213,233,0.4,2.6,3.0,0.8666666666666667,109.89545031528831,29.19147992137432,90.86992076589482,45.517276939641285,"(1203, 954)","(1353, 822)",191,206,0.3,2.44,2.74,0.8905109489051094,62.83012812337725,44.58054508415078,101.61910499507464,40.25223167250053,"(1170, 822)","(1227, 723)",234,250,0.32,2.56,2.88,0.888888888888889,74.8161747217806,16.58229477484947,121.54128928063913,28.461909548357596,"(1302, 891)","(1404, 801)",172,187,0.3,2.14,2.44,0.8770491803278689,68.21108780836148,38.51963784876489,110.30345642816458,51.273182203264184,"(1290, 660)","(1395, 594)",196,210,0.28,1.38,1.66,0.8313253012048193,68.68837237844554,13.60624856453828,84.03668841642917,60.5917797091843,"(1470, 735)","(1584, 684)",225,242,0.34,2.28,2.62,0.8702290076335877,76.27570058675306,30.42449670906653,113.4667462298977,33.42535868859655,"(1308, 645)","(1416, 558)",128,156,0.56,0.96,1.52,0.631578947368421,62.721706768869105,18.81289451413578,77.56755120538486,42.279821651774,"(1755, 510)","(1857, 459)",179,215,0.72,0.82,1.54,0.5324675324675324,63.733586122232296,15.212248354533266,61.072293226961776,62.12438148996097,"(1587, 474)","(1695, 432)"
Bear10,1,377.97967207245426,41.25,363,376,0.26,0.3,0.56,0.5357142857142857,63.733586122232296,3.6895121628746534,111.15172063445533,42.18643706143925,"(1122, 1098)","(1164, 990)",328,344,0.32,1.0,1.32,0.7575757575757576,69.63312789183034,11.06853648862396,67.65,91.07860615973436,"(1014, 921)","(1089, 819)",378,391,0.26,0.34,0.6,0.5666666666666668,108.56197538733349,24.96903081819557,109.01244195044895,174.79273440277777,"(1155, 1056)","(1299, 921)",294,309,0.3,1.42,1.72,0.8255813953488372,72.4498447203305,21.702361622643746,87.8692779075827,29.877301138320664,"(1125, 774)","(1239, 708)",279,294,0.3,1.98,2.28,0.868421052631579,78.26637208916739,18.447560814373265,126.54542662617249,32.56578947368421,"(1359, 840)","(1476, 759)",356,371,0.3,1.0,1.3,0.7692307692307692,83.04271491226669,31.866793061116148,91.48204741915214,91.47271394492297,"(1152, 780)","(1266, 681)",204,231,0.54,1.24,1.78,0.6966292134831461,59.032194605994455,26.605450569385216,65.7106155807416,56.50694062766625,"(1632, 579)","(1728, 531)",256,288,0.64,0.96,1.6,0.6,46.22945489620227,19.24214125298949,58.75482958872403,29.530505943007476,"(1500, 543)","(1569, 495)"
Bear10,1,377.97967207245426,41.25,391,397,0.12,0.58,0.7,0.8285714285714285,108.05925457821742,11.06853648862396,86.57391350747639,126.34373667071262,"(921, 1077)","(1116, 1101)",394,404,0.2,0.92,1.12,0.8214285714285714,63.476767403515446,52.09925623269492,143.93826801792497,67.91182301130921,"(891, 921)","(1005, 939)",408,417,0.18,1.36,1.54,0.8831168831168832,84.55344463710512,36.22492236016525,113.4667462298977,53.923840852121224,"(957, 1065)","(1110, 1050)",380,392,0.24,1.0,1.24,0.8064516129032259,68.9257752948779,31.52320573799562,122.10000000000001,106.52643539800636,"(1035, 906)","(1119, 813)",393,398,0.1,0.88,0.98,0.8979591836734694,109.90783639031386,16.334166645409248,99.68512928215523,117.13334598378795,"(1182, 987)","(1344, 870)",421,434,0.26,1.04,1.3,0.8,61.93547045110743,30.109674524976192,98.11605373230215,63.879011470974376,"(1023, 885)","(1098, 801)",293,325,0.64,0.68,1.32,0.5151515151515151,39.66869042456532,5.2177581392778265,69.10329225152736,26.575364531836623,"(1539, 654)","(1590, 603)",336,364,0.56,0.46,1.02,0.45098039215686275,39.737262110014576,8.25,76.5607112035932,60.04935974293425,"(1416, 609)","(1470, 561)"
Bear10,1,377.97967207245426,41.25,426,440,0.28,0.84,1.12,0.7499999999999999,76.18641611206029,62.26427547157359,73.06724642409895,74.14528117166668,"(765, 1056)","(903, 1068)",450,,,,,,,,,,,"(798, 939)",485,,,,,,,,,,,"(900, 1098)",442,453,0.22,0.74,0.96,0.7708333333333334,90.8099801783923,29.882770955853477,107.36417000098311,90.8176830936575,"(813, 906)","(978, 900)",442,,,,,,,,,,,"(1161, 1008)",486,,,,,,,,,,,"(969, 894)",359,389,0.6,0.24,0.84,0.2857142857142857,64.07440986852708,28.38767338124067,87.8692779075827,112.71988149245666,"(1434, 723)","(1530, 657)",387,401,0.28,0.58,0.86,0.6744186046511628,68.66855175405988,17.84747881354675,79.37168890731759,133.47753379547927,"(1305, 693)","(1407, 621)"
Bear10,1,377.97967207245426,41.25,482,,,,,,,,,,,"(825, 1152)",,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,"(807, 960)",,,,,,,,,,,,,,,,,,,,,,,,,401,427,0.52,0.36,0.88,0.40909090909090906,59.49159604515582,16.58229477484947,83.2391884871543,64.73503688112027,"(1302, 813)","(1392, 753)",430,450,0.4,0.48,0.88,0.5454545454545454,61.847493886171335,5.949159604515583,70.02301407394572,54.50415695155738,"(1206, 798)","(1287, 720)"
Bear10,1,377.97967207245426,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,,,,,"(1305, 843)",474,,,,,,,,,,,"(1197, 792)"
