bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
05082019-Bear9,8,349.14561432158933,38.51963784876489,,13,,,,,,,,,"(1192.0, 721.0)",,19,33,0.28,0.46,0.74,0.6216216216216216,116.10081825723711,35.914620978091925,141.97246211853903,219.9761446160608,"(1042.0, 575.0)","(1250.0, 611.0)",28,39,0.22,0.46,0.68,0.676470588235294,103.01310596229978,40.818745693614844,139.61335895966403,200.82617529012722,"(1122.0, 719.0)","(1308.0, 741.0)",12,23,0.22,0.52,0.74,0.7027027027027027,88.98449303108941,66.45675285477016,132.45754036671525,181.0891990919323,"(1256.0, 607.0)","(1416.0, 631.0)",18,28,0.2,0.48,0.68,0.7058823529411764,66.58408218185485,62.99841267841596,138.28973208448994,211.82685209426612,"(1348.0, 775.0)","(1468.0, 791.0)",,13,,,,,,,,,"(1484.0, 617.0)",,,14,,,,,,,,,"(1716.0, 777.0)",,14,38,0.48,0.16,0.64,0.25,125.14887134928546,17.90670265570968,138.72652954644258,209.38438645004672,"(1548.0, 657.0)","(1772.0, 697.0)"
05082019-Bear9,8,349.14561432158933,38.51963784876489,31,47,0.32,0.48,0.8,0.6,109.98349876231435,52.81145709029434,138.16280251934674,204.69728030069183,"(922.0, 667.0)","(1120.0, 695.0)",56,67,0.22,0.46,0.68,0.676470588235294,108.15858726888032,41.8867520822515,131.83948573928828,222.70717581427309,"(788.0, 529.0)","(984.0, 545.0)",62,72,0.2,0.44,0.64,0.6875,98.93887001578298,59.775663944451516,129.8745548596799,260.69675692701975,"(872.0, 675.0)","(1050.0, 701.0)",49,58,0.18,0.48,0.66,0.7272727272727272,66.01833078774409,62.73858461903648,136.86935376482202,253.5867701596438,"(1020.0, 559.0)","(1138.0, 581.0)",52,60,0.16,0.46,0.62,0.7419354838709677,75.29176581804946,41.8867520822515,145.93978210207112,216.13872149682243,"(1102.0, 723.0)","(1236.0, 751.0)",41,48,0.14,0.44,0.58,0.7586206896551725,62.22539674441619,47.49147291883039,146.1344928481979,191.61978135469454,"(1222.0, 581.0)","(1334.0, 597.0)",28,50,0.44,0.26,0.7,0.37142857142857144,114.83283502552744,31.05430726968483,139.8082257951942,195.0882845675522,"(1442.0, 745.0)","(1648.0, 779.0)",46,72,0.52,0.16,0.68,0.23529411764705882,120.81986591616464,27.500000000000004,115.01708568730128,246.12833574318367,"(1300.0, 611.0)","(1516.0, 651.0)"
05082019-Bear9,8,349.14561432158933,38.51963784876489,71,79,0.16,0.5,0.66,0.7575757575757576,86.73275044641441,52.27025923027358,134.33517782025677,210.43110511518964,"(674.0, 627.0)","(826.0, 669.0)",90,99,0.18,0.4,0.58,0.6896551724137931,91.00796668424145,30.42449670906653,126.01603072625323,178.70408950337952,"(554.0, 477.0)","(718.0, 499.0)",94,106,0.24,0.44,0.68,0.6470588235294117,70.16758510879508,39.3086504474524,125.93919167598307,161.99303738401738,"(640.0, 631.0)","(766.0, 651.0)",82,90,0.16,0.48,0.64,0.75,76.40844194197393,48.412498386263856,131.26461823355143,176.37088607002292,"(778.0, 501.0)","(906.0, 555.0)",83,93,0.2,0.5,0.7,0.7142857142857143,104.05325559539213,49.6098780486306,125.15853946095729,200.12128975260205,"(844.0, 661.0)","(1028.0, 705.0)",70,80,0.2,0.48,0.68,0.7058823529411764,99.15266007525972,44.27414595449584,125.92958349808039,240.20833302072424,"(958.0, 551.0)","(1138.0, 561.0)",63,85,0.44,0.16,0.6,0.26666666666666666,109.69708291472479,14.468241081762496,150.22150312122432,278.07654072215445,"(1192.0, 699.0)","(1390.0, 723.0)",80,99,0.38,0.22,0.6,0.3666666666666667,88.05498282323381,25.083859352181037,112.16224855092733,188.1289451413578,"(1094.0, 575.0)","(1250.0, 611.0)"
05082019-Bear9,8,349.14561432158933,38.51963784876489,104,115,0.22,0.56,0.78,0.717948717948718,82.93153802987138,44.49224651554471,131.30609277562104,160.1137955167914,"(440.0, 557.0)","(580.0, 613.0)",119,136,0.34,0.54,0.88,0.6136363636363636,95.67470930188395,44.178388381651054,133.27599286136018,181.44924393614872,"(334.0, 413.0)","(500.0, 465.0)",128,,,,,,,,,,,"(572.0, 609.0)",114,125,0.22,0.48,0.7,0.6857142857142857,84.58563707864357,34.11773732239581,123.01325131870958,198.81211004876144,"(546.0, 445.0)","(690.0, 499.0)",118,128,0.2,0.54,0.74,0.7297297297297298,76.5271193760748,30.976281248723193,127.38170983308397,169.29802054054898,"(622.0, 611.0)","(754.0, 655.0)",104,115,0.22,0.44,0.66,0.6666666666666666,82.44865068635144,21.61157097482735,115.21154456043024,153.5008143300875,"(740.0, 481.0)","(886.0, 515.0)",93,121,0.56,0.26,0.82,0.3170731707317073,135.79988954340132,23.334523779156072,92.4130943102762,156.53791736088587,"(926.0, 637.0)","(1166.0, 695.0)",110,134,0.48,0.2,0.68,0.29411764705882354,87.3444331368634,28.044607324760317,123.5971277983433,158.33534039279115,"(892.0, 547.0)","(1050.0, 563.0)"
05082019-Bear9,8,349.14561432158933,38.51963784876489,143,,,,,,,,,,,"(360.0, 545.0)",163,,,,,,,,,,,"(258.0, 387.0)",,,,,,,,,,,,,149,,,,,,,,,,,"(484.0, 443.0)",155,,,,,,,,,,,"(566.0, 605.0)",137,,,,,,,,,,,"(702.0, 471.0)",134,155,0.42,0.04,0.46,0.08695652173913043,69.08140125967337,0.0,127.4809410755649,149.19324637430847,"(760.0, 611.0)","(884.0, 631.0)",144,,,,,,,,,,,"(842.0, 537.0)"
05082019-Bear9,8,349.14561432158933,38.51963784876489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,"(760.0, 611.0)",,,,,,,,,,,,
05082019-Bear9,3,364.65000000000003,40.58463379162119,41,53,0.24,0.78,1.02,0.7647058823529412,43.02673587433748,63.175826072952944,129.97350691583267,110.72318502654332,"(1476.0, 885.0)","(1542.0, 843.0)",,35,,,,,,,,,"(1470.0, 732.0)",,,33,,,,,,,,,"(1596.0, 855.0)",,51,61,0.2,0.6,0.8,0.7499999999999999,70.54594247722545,42.06691098714048,96.11161480279063,130.06838645977737,"(1491.0, 735.0)","(1617.0, 711.0)",49,78,0.58,0.46,1.04,0.4423076923076923,100.77164779837632,23.1,73.7348798059643,132.83411110285343,"(1563.0, 882.0)","(1746.0, 873.0)",42,75,0.66,0.62,1.28,0.484375,115.51178511303513,24.361958049385116,126.28699457980622,116.56575298116685,"(1569.0, 708.0)","(1779.0, 711.0)",,34,,,,,,,,,"(1992.0, 834.0)",,,56,,,,,,,,,"(1923.0, 780.0)",
05082019-Bear9,3,364.65000000000003,40.58463379162119,92,104,0.24,0.44,0.68,0.6470588235294117,67.89103401775525,59.032194605994455,135.8722653818652,186.6963747162219,"(1278.0, 1014.0)","(1389.0, 960.0)",64,76,0.24,0.54,0.78,0.6923076923076923,95.78530680641995,0.0,107.25000000000001,112.13533929821867,"(1305.0, 879.0)","(1434.0, 762.0)",76,96,0.4,0.42,0.82,0.5121951219512195,60.060906586564286,43.8415898434352,138.88452937602517,130.7926829268293,"(1455.0, 954.0)","(1542.0, 888.0)",91,100,0.18,0.5,0.68,0.7352941176470588,54.649634033541346,42.581510071861004,136.71123765075058,186.6963747162219,"(1347.0, 834.0)","(1434.0, 786.0)",101,113,0.24,0.56,0.8,0.7000000000000001,92.53249429254569,41.25,136.06248564538282,162.46688364479084,"(1461.0, 969.0)","(1605.0, 882.0)",106,121,0.3,0.6,0.9,0.6666666666666666,106.6262631812632,68.66855175405988,163.61644935641405,192.0454951885678,"(1368.0, 819.0)","(1548.0, 747.0)",50,103,1.06,0.12,1.18,0.1016949152542373,125.49765934072238,0.0,212.6452503584315,126.44420662363862,"(1743.0, 834.0)","(1971.0, 843.0)",77,125,0.96,0.14,1.1,0.1272727272727273,158.44296292357072,15.65327441783348,110.6361604539854,185.32134253776601,"(1590.0, 807.0)","(1875.0, 765.0)"
05082019-Bear9,3,364.65000000000003,40.58463379162119,126,139,0.26,0.48,0.74,0.6486486486486487,76.915489337324,27.65904011349635,77.14522020190233,157.80753654439903,"(1053.0, 1116.0)","(1182.0, 1062.0)",103,120,0.34,0.34,0.68,0.5,107.25000000000001,14.850000000000001,113.75430761074502,191.13751017034215,"(1125.0, 954.0)","(1305.0, 879.0)",117,130,0.26,0.4,0.66,0.6060606060606061,95.20085346256094,26.400000000000002,99.88975172659106,227.0600140931908,"(1224.0, 1056.0)","(1380.0, 981.0)",125,139,0.28,0.48,0.76,0.631578947368421,95.4863995551199,31.866793061116148,118.06438921198891,153.6547066353359,"(1119.0, 933.0)","(1284.0, 879.0)",141,154,0.26,0.86,1.12,0.7678571428571428,95.20085346256094,39.942270841803676,106.2681984414905,117.58059071334861,"(1233.0, 1065.0)","(1389.0, 990.0)",151,163,0.24,0.9,1.14,0.7894736842105264,98.07442327130964,24.024362634625714,122.9554492489048,81.87552203212658,"(1092.0, 930.0)","(1266.0, 891.0)",109,171,1.24,0.18,1.42,0.1267605633802817,212.6452503584315,8.885521931771931,67.95115893051421,165.40863899325356,"(1383.0, 975.0)","(1743.0, 834.0)",132,162,0.6,0.08,0.68,0.11764705882352941,94.98613056652009,0.0,64.93960655870961,130.44395348194567,"(1398.0, 867.0)","(1563.0, 816.0)"
05082019-Bear9,3,364.65000000000003,40.58463379162119,163,176,0.26,0.92,1.18,0.7796610169491526,53.13409922074525,64.07440986852708,161.00821407617687,96.76634900580791,"(948.0, 1209.0)","(1005.0, 1131.0)",137,152,0.3,0.56,0.86,0.6511627906976745,100.36558174992064,23.334523779156072,117.33576820390277,135.665835925326,"(936.0, 1038.0)","(1098.0, 954.0)",150,163,0.26,0.86,1.12,0.7678571428571428,76.13279516739156,24.529013433075537,33.36918488665853,83.3375849255574,"(1056.0, 1125.0)","(1176.0, 1056.0)",163,179,0.32,0.44,0.76,0.5789473684210527,86.38502474387562,26.08879069638913,66.81990721334475,61.44500868905289,"(927.0, 1029.0)","(1065.0, 954.0)",197,211,0.28,0.54,0.82,0.6585365853658537,66.37021169169194,24.361958049385116,129.97350691583267,125.24197281625597,"(1077.0, 1179.0)","(1176.0, 1110.0)",208,226,0.36,0.52,0.88,0.5909090909090909,103.8976058434457,42.260619967056805,162.48102196872102,199.5003524432977,"(921.0, 1074.0)","(1080.0, 972.0)",180,213,0.66,0.18,0.84,0.21428571428571427,59.14737948548524,15.65327441783348,109.51078713989779,105.7800229972849,"(1275.0, 1035.0)","(1368.0, 981.0)",166,190,0.48,0.3,0.78,0.3846153846153846,64.93960655870961,0.0,100.32488474949773,59.86949564574384,"(1293.0, 921.0)","(1398.0, 867.0)"
