bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
08082019-Bear16,4,366.8862800650905,31.132137735786795,72,80,0.16,0.42,0.58,0.7241379310344828,77.87891242178463,63.99173774793118,158.78148506674196,221.9694840356305,"(813.0, 511.0)","(672.0, 524.0)",,69,,,,,,,,,"(745.0, 619.0)",,60,70,0.2,0.5,0.7,0.7142857142857143,90.73666568703085,82.5,159.37477843121854,241.36268120310365,"(600.0, 516.0)","(441.0, 560.0)",,61,,,,,,,,,"(553.0, 676.0)",,79,87,0.16,0.56,0.72,0.7777777777777779,110.24722218722793,101.08335669139603,179.8508409766271,279.7054036789819,"(621.0, 502.0)","(425.0, 544.0)",65,78,0.26,0.38,0.64,0.59375,83.52035680000417,52.4349358729464,150.00386661683092,244.21526359075742,"(522.0, 666.0)","(374.0, 700.0)",,65,,,,,,,,,"(164.0, 607.0)",,63,75,0.24,0.14,0.38,0.368421052631579,66.91038783328042,12.839879282921629,54.29422160782858,196.74097634415966,"(233.0, 682.0)","(113.0, 702.0)"
08082019-Bear16,4,366.8862800650905,31.132137735786795,101,109,0.16,0.36,0.52,0.6923076923076923,95.93519948381824,45.30744971856174,158.6757149030689,317.3235572956929,"(1101.0, 531.0)","(929.0, 502.0)",89,97,0.16,0.4,0.56,0.7142857142857143,90.3072533078047,55.593547287432564,132.1648970037052,253.4099869625247,"(1004.0, 598.0)","(840.0, 590.0)",95,101,0.12,0.46,0.58,0.7931034482758622,77.91386269464505,69.36326477322129,174.6628895902046,250.3609908575274,"(888.0, 484.0)","(750.0, 516.0)",80,90,0.2,0.4,0.6,0.6666666666666667,109.4389441652285,41.26466406018593,140.8,232.63114580812262,"(786.0, 618.0)","(589.0, 646.0)",115,124,0.18,0.42,0.6,0.7,79.68738921560927,82.06803579957304,184.02904662036374,263.6847075580987,"(948.0, 503.0)","(804.0, 519.0)",97,108,0.22,0.36,0.58,0.6206896551724138,97.57347231701864,48.400000000000006,157.8538327060829,250.3609908575274,"(794.0, 646.0)","(617.0, 658.0)",81,98,0.34,0.06,0.4,0.15,97.55331875441246,22.975258431625967,128.80807428107914,239.28555770250742,"(396.0, 578.0)","(220.0, 600.0)",82,87,0.1,0.08,0.18,0.4444444444444445,41.487648764421444,4.731278896873445,88.5773249765424,319.7839982793942,"(329.0, 659.0)","(256.0, 678.0)"
08082019-Bear16,4,366.8862800650905,31.132137735786795,127,140,0.26,0.44,0.7,0.6285714285714287,115.20235457663182,79.77275537425042,173.69292587782616,257.0150575276055,"(1389.0, 548.0)","(1182.0, 516.0)",117,124,0.14,0.5,0.64,0.78125,76.57651402355685,100.02744623352133,183.02773696901792,247.2044133357175,"(1244.0, 610.0)","(1105.0, 602.0)",124,134,0.2,0.4,0.6,0.6666666666666667,106.17279547982149,68.18669225002779,169.8859102456705,297.6231887807132,"(1205.0, 503.0)","(1012.0, 507.0)",110,117,0.14,0.46,0.6,0.7666666666666667,99.55607716257207,61.761840969971104,179.05689040078855,284.1030842845604,"(1042.0, 618.0)","(861.0, 616.0)",145,155,0.2,0.42,0.62,0.6774193548387096,102.30147848393983,60.44247264961949,153.46576979900112,271.00770154666577,"(1282.0, 523.0)","(1096.0, 522.0)",126,139,0.26,0.36,0.62,0.5806451612903225,109.45552749861471,62.39046401494383,181.94029927423998,288.02244075552886,"(1081.0, 644.0)","(882.0, 646.0)",101,118,0.34,0.18,0.52,0.34615384615384615,105.8760714231502,34.63253528114857,159.49715514704332,317.3235572956929,"(628.0, 546.0)","(437.0, 570.0)",91,103,0.24,0.32,0.56,0.5714285714285714,86.0130368025685,66.03894684199621,158.22134021679884,274.79297053993804,"(490.0, 655.0)","(334.0, 666.0)"
08082019-Bear16,4,366.8862800650905,31.132137735786795,162,170,0.16,0.38,0.54,0.7037037037037037,94.7022703001359,32.18792475447897,163.716708615879,218.3172527298431,"(1702.0, 590.0)","(1530.0, 582.0)",149,156,0.14,0.46,0.6,0.7666666666666667,83.00627988291006,72.35165858499721,145.41650525301452,280.0412915982213,"(1573.0, 660.0)","(1424.0, 636.0)",154,163,0.18,0.42,0.6,0.7,102.83235142697069,53.35283497622221,130.59575988522752,251.47092277239534,"(1508.0, 563.0)","(1322.0, 544.0)",140,150,0.2,0.4,0.6,0.6666666666666667,117.29580128887821,58.34149466717493,153.22016838523575,294.03146090172055,"(1364.0, 666.0)","(1153.0, 635.0)",176,,,,,,,,,,,"(1388.0, 552.0)",157,169,0.24,0.4,0.64,0.625,119.55259302917692,22.65706291645058,163.2659995323846,234.82176169517382,"(1408.0, 694.0)","(1193.0, 662.0)",127,147,0.4,0.2,0.6,0.33333333333333337,125.05456808929453,44.03092663117596,134.95188957550764,245.99822153828674,"(917.0, 522.0)","(690.0, 535.0)",119,130,0.22,0.32,0.54,0.5925925925925926,92.21976469282495,59.5627400309959,141.69626847592002,269.73824188609683,"(776.0, 624.0)","(609.0, 639.0)"
08082019-Bear16,4,366.8862800650905,31.132137735786795,189,,,,,,,,,,,"(1757.0, 610.0)",179,,,,,,,,,,,"(1704.0, 672.0)",184,,,,,,,,,,,"(1605.0, 564.0)",170,179,0.18,0.34,0.52,0.6538461538461539,94.91285476688604,40.150000000000006,157.69235292867475,225.8241194252757,"(1642.0, 684.0)","(1470.0, 670.0)",,,,,,,,,,,,,189,,,,,,,,,,,"(1449.0, 698.0)",157,173,0.32,0.32,0.64,0.5,92.45890979240454,50.64780350617389,141.08570633454337,234.82176169517382,"(1160.0, 556.0)","(992.0, 550.0)",146,158,0.24,0.3,0.54,0.5555555555555555,83.18829545074234,55.94070521543325,132.62300893887155,251.16964042575876,"(1033.0, 642.0)","(884.0, 616.0)"
08082019-Bear16,4,366.8862800650905,31.132137735786795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,"(1690.0, 739.0)",,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,"(1252.0, 560.0)",173,,,,,,,,,,,"(1134.0, 654.0)"
08082019-Bear16,7,378.5123016494973,33.20560946587188,25,32,0.14,0.3,0.44,0.6818181818181818,55.14555739132573,6.6000000000000005,147.18332955875132,214.93094821360654,"(1140.0, 723.0)","(1077.0, 645.0)",,2,,,,,,,,,"(807.0, 582.0)",,,6,,,,,,,,,"(894.0, 486.0)",,,7,,,,,,,,,"(759.0, 546.0)",,12,26,0.28,0.58,0.86,0.6744186046511628,136.55183081892386,73.5870402992266,190.179947681137,255.75798806415858,"(951.0, 495.0)","(771.0, 324.0)",9,18,0.18,0.38,0.56,0.6785714285714285,91.1242283917949,15.212248354533266,162.68196734733695,215.0892857142857,"(765.0, 549.0)","(654.0, 426.0)",8,21,0.26,0.32,0.58,0.5517241379310346,94.3823076640956,37.98585262963042,136.95993939835108,239.7938230776742,"(699.0, 267.0)","(597.0, 129.0)",,11,,,,,,,,,"(567.0, 213.0)",
08082019-Bear16,7,378.5123016494973,33.20560946587188,47,57,0.2,0.42,0.62,0.6774193548387096,141.98631095989504,36.18732512911116,108.46161763499566,266.6873176403755,"(1353.0, 885.0)","(1152.0, 723.0)",15,22,0.14,0.34,0.48,0.7083333333333334,100.36558174992064,16.82676439485619,123.44161575416939,200.26203537490576,"(996.0, 762.0)","(864.0, 636.0)",32,44,0.24,0.32,0.56,0.5714285714285714,100.58235431724593,66.81990721334475,144.57051047845133,291.8005766454416,"(1125.0, 690.0)","(987.0, 570.0)",25,34,0.18,0.4,0.58,0.6896551724137931,86.62107133948415,65.02339963428551,173.06919136576562,246.23786388848941,"(954.0, 723.0)","(834.0, 621.0)",55,66,0.22,0.54,0.76,0.7105263157894737,116.76591968549728,37.07913833950299,120.17846104855896,199.57158495330853,"(1197.0, 738.0)","(1041.0, 594.0)",37,51,0.28,0.48,0.76,0.631578947368421,147.4697596119286,46.90181233172125,138.96291771548266,283.53648140598887,"(990.0, 741.0)","(786.0, 567.0)",37,49,0.24,0.12,0.36,0.3333333333333333,99.00000000000001,22.442426339413483,73.67947475382816,276.4095818607678,"(846.0, 468.0)","(738.0, 324.0)",20,44,0.48,0.14,0.62,0.22580645161290325,128.71057648849222,26.860053983564516,153.7690232133898,252.19148737800674,"(720.0, 474.0)","(582.0, 285.0)"
08082019-Bear16,7,378.5123016494973,33.20560946587188,78,86,0.16,0.48,0.64,0.75,73.79024325749306,38.51963784876489,123.17667189853769,147.47235572514938,"(1461.0, 1050.0)","(1401.0, 930.0)",39,47,0.16,0.3,0.46,0.6521739130434782,108.66224045177792,38.48428250597898,127.38170983308397,313.710057971672,"(1173.0, 900.0)","(1026.0, 768.0)",60,72,0.24,0.6,0.84,0.7142857142857143,78.24897762910388,65.08617364694287,146.88707397181005,147.33452322756497,"(1332.0, 852.0)","(1227.0, 756.0)",54,63,0.18,0.54,0.72,0.7500000000000001,108.51180811321872,16.250615372963576,112.03001829866851,210.65889522849233,"(1191.0, 930.0)","(1050.0, 792.0)",93,101,0.16,0.44,0.6,0.7333333333333334,84.2954625113357,54.94772515764416,135.6617116212235,235.29781660695454,"(1353.0, 891.0)","(1254.0, 774.0)",75,86,0.22,0.54,0.76,0.7105263157894737,92.1787529748586,42.06691098714048,171.36185398156732,158.50171163122403,"(1176.0, 912.0)","(1056.0, 795.0)",55,67,0.24,0.08,0.32,0.25,51.256341071129924,0.0,95.08639492587781,281.33475285513964,"(957.0, 543.0)","(879.0, 492.0)",51,70,0.38,0.4,0.78,0.5128205128205129,127.91491312587443,43.02673587433748,127.17850643878471,224.86846911554065,"(954.0, 627.0)","(753.0, 510.0)"
08082019-Bear16,7,378.5123016494973,33.20560946587188,110,119,0.18,0.44,0.62,0.7096774193548387,84.81064202091623,49.058026866151074,134.1481457195738,223.70674114871866,"(1602.0, 1224.0)","(1509.0, 1101.0)",62,72,0.2,0.56,0.76,0.736842105263158,89.16109016830156,38.8363875766014,120.35955508392345,162.8434204094139,"(1359.0, 1038.0)","(1233.0, 936.0)",102,111,0.18,0.48,0.66,0.7272727272727272,82.84577539017907,60.71461932681453,133.85354870155666,224.56903170294876,"(1497.0, 1062.0)","(1392.0, 954.0)",90,100,0.2,0.44,0.64,0.6875,97.18205852933968,81.18603636094079,151.96132731718293,220.59170306901987,"(1332.0, 1077.0)","(1218.0, 942.0)",123,133,0.2,0.48,0.68,0.7058823529411764,81.52068755843514,55.46552983610633,146.44156684493652,201.98090425431562,"(1515.0, 1077.0)","(1428.0, 957.0)",113,120,0.14,0.58,0.72,0.8055555555555556,129.37515217382355,22.442426339413483,107.25000000000001,221.91333784585575,"(1371.0, 1155.0)","(1227.0, 969.0)",71,90,0.38,0.28,0.66,0.42424242424242425,95.08639492587781,27.0620121203136,134.17858435681904,146.73530590829188,"(1092.0, 651.0)","(957.0, 543.0)",90,111,0.42,0.22,0.64,0.34375,85.56168827226354,51.176605983593724,143.55,220.59170306901987,"(1116.0, 792.0)","(996.0, 693.0)"
