bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
08082019-Bear18,3,412.2990177043841,39.35863945819266,,5,,,,,,,,,"(1217.0, 1178.0)",,10,18,0.16,0.62,0.78,0.7948717948717948,113.00057521977489,22.889517251353297,178.0233692524664,163.10424752939505,"(1052.0, 1141.0)","(1206.0, 1005.0)",19,29,0.2,0.36,0.56,0.6428571428571428,117.78221427702911,26.76415513331217,107.15829412602648,185.71851385983607,"(1230.0, 1195.0)","(1352.0, 1019.0)",,4,,,,,,,,,"(1212.0, 946.0)",,4,15,0.22,0.8,1.02,0.7843137254901961,121.52386596878821,84.7856709591898,232.54010406809402,197.88921833582552,"(1404.0, 992.0)","(1506.0, 796.0)",18,37,0.38,0.52,0.9,0.5777777777777778,146.7583047053897,30.0241569407036,155.63347968865827,212.99830463592374,"(1178.0, 992.0)","(1350.0, 788.0)",15,37,0.44,0.14,0.58,0.24137931034482762,113.94428463069134,14.961617559608989,90.28045192620606,211.30386584669913,"(1500.0, 820.0)","(1606.0, 642.0)",,11,,,,,,,,,"(1472.0, 602.0)",
08082019-Bear18,3,412.2990177043841,39.35863945819266,34,47,0.26,0.44,0.7,0.6285714285714287,136.13805492954572,24.423963642291973,148.56517088469963,222.73440988526846,"(1017.0, 1362.0)","(1195.0, 1190.0)",49,63,0.28,0.54,0.82,0.6585365853658537,155.2247725074835,41.34888148426751,172.405481351377,274.6406783978204,"(804.0, 1349.0)","(1018.0, 1165.0)",47,55,0.16,0.48,0.64,0.75,121.42923865362906,19.460986614249546,193.12441585672178,217.31315216414222,"(1072.0, 1309.0)","(1222.0, 1147.0)",32,45,0.26,0.52,0.78,0.6666666666666666,149.1504274214459,36.31666284228219,175.3974059101217,199.8898550252409,"(1004.0, 1158.0)","(1212.0, 984.0)",55,68,0.26,0.52,0.78,0.6666666666666666,161.35541515548834,36.300000000000004,164.89730137270288,232.08574790085282,"(1130.0, 1314.0)","(1262.0, 1052.0)",63,78,0.3,0.56,0.86,0.6511627906976745,127.47191847618834,38.3740797935273,188.23182515185894,217.33649978172457,"(972.0, 1186.0)","(1152.0, 1040.0)",44,57,0.26,0.3,0.56,0.5357142857142857,75.45230281442707,32.126780106322514,137.93929824382897,225.16575527139727,"(1388.0, 940.0)","(1484.0, 842.0)",33,42,0.18,0.36,0.54,0.6666666666666666,72.06469315830049,33.8864279616486,112.42086105345396,215.21612020260406,"(1366.0, 780.0)","(1434.0, 668.0)"
08082019-Bear18,3,412.2990177043841,39.35863945819266,69,79,0.2,0.54,0.74,0.7297297297297298,124.48967828699696,20.75475849052453,163.35833312078086,200.25406160472554,"(825.0, 1552.0)","(981.0, 1388.0)",90,102,0.24,0.62,0.86,0.7209302325581396,132.23811855890872,22.677080940897135,167.806793664619,160.1776368224371,"(600.0, 1587.0)","(768.0, 1415.0)",79,94,0.3,0.56,0.86,0.6511627906976745,173.66418744231638,10.377379245262265,148.69339259025602,217.1331598029017,"(836.0, 1569.0)","(1048.0, 1335.0)",71,84,0.26,0.66,0.92,0.717391304347826,152.99493455667087,47.6186938082094,162.15208910155923,211.26534462899932,"(764.0, 1368.0)","(1002.0, 1224.0)",94,108,0.28,0.64,0.92,0.6956521739130435,141.57559817991236,30.044300624244862,178.2033950293877,183.8905658095646,"(918.0, 1526.0)","(1064.0, 1314.0)",106,120,0.28,0.62,0.9,0.6888888888888889,152.12248354533264,28.173746644704536,171.9326524202586,198.34768855611998,"(730.0, 1428.0)","(940.0, 1248.0)",72,84,0.24,0.42,0.66,0.6363636363636364,106.02311068818912,28.68449058289166,119.13055863211589,196.2300945319041,"(1254.0, 1152.0)","(1352.0, 986.0)",60,71,0.22,0.28,0.5,0.56,80.77326290301761,50.468306886599635,118.32032792381875,273.26311496431424,"(1244.0, 944.0)","(1316.0, 816.0)"
08082019-Bear18,3,412.2990177043841,39.35863945819266,106,118,0.24,0.52,0.76,0.6842105263157895,143.13743395771772,17.90670265570968,137.97438168007858,191.95101278415873,"(618.0, 1765.0)","(805.0, 1584.0)",133,,,,,,,,,,,"(568.0, 1613.0)",122,,,,,,,,,,,"(826.0, 1585.0)",117,,,,,,,,,,,"(754.0, 1454.0)",140,,,,,,,,,,,"(868.0, 1548.0)",151,,,,,,,,,,,"(698.0, 1468.0)",105,115,0.2,0.36,0.56,0.6428571428571428,91.00796668424145,27.056422527747458,111.29586694931669,192.08364229614946,"(1094.0, 1298.0)","(1210.0, 1180.0)",85,100,0.3,0.4,0.7,0.5714285714285715,76.75604210744585,55.1757192975316,131.596048572896,171.8775816132648,"(1086.0, 1090.0)","(1212.0, 1030.0)"
08082019-Bear18,3,412.2990177043841,39.35863945819266,144,,,,,,,,,,,"(586.0, 1771.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,"(1072.0, 1342.0)",120,,,,,,,,,,,"(1046.0, 1182.0)"
08082019-Bear18,2,414.0941197360813,39.66869042456532,75,85,0.2,0.58,0.78,0.7435897435897435,100.05314837625052,77.6201810098379,214.9057700481772,237.23451371383854,"(1140.0, 924.0)","(1182.0, 747.0)",57,67,0.2,0.64,0.84,0.761904761904762,86.80944649057498,52.437820320833325,134.3002699178226,155.62548663967846,"(1038.0, 807.0)","(1062.0, 651.0)",62,71,0.18,0.68,0.86,0.7906976744186047,90.88489973587473,55.3426824431198,214.9121041263149,138.98963235280686,"(1194.0, 678.0)","(1185.0, 513.0)",,51,,,,,,,,,"(1032.0, 513.0)",,89,102,0.26,0.46,0.72,0.638888888888889,114.90920328676899,94.10787692855472,204.83937609746815,317.28619496266913,"(1164.0, 726.0)","(1221.0, 525.0)",94,107,0.26,0.38,0.64,0.59375,100.70408382980305,78.80369597931306,216.30738544950336,325.00739925471316,"(981.0, 738.0)","(1038.0, 564.0)",57,68,0.22,0.28,0.5,0.56,56.124259460593336,29.23807449200443,104.4203643931585,162.23788090332047,"(1146.0, 183.0)","(1143.0, 81.0)",71,82,0.22,0.58,0.8,0.7249999999999999,81.4538673115034,58.12591934756818,205.40346272641077,159.89364140734304,"(1059.0, 291.0)","(1041.0, 144.0)"
08082019-Bear18,2,414.0941197360813,39.66869042456532,114,124,0.2,0.58,0.78,0.7435897435897435,137.30736506101923,61.050000000000004,126.31932749979318,245.5304606369477,"(1116.0, 1314.0)","(1134.0, 1065.0)",99,107,0.16,0.34,0.5,0.68,82.51649835032993,77.03927569752977,179.97106017357348,397.66026957693424,"(1014.0, 1050.0)","(1017.0, 900.0)",105,117,0.24,0.56,0.8,0.7000000000000001,163.4249827902699,79.47452422002915,183.15743228163035,352.90453848208017,"(1140.0, 1065.0)","(1149.0, 768.0)",84,93,0.18,0.52,0.7,0.7428571428571429,120.58554017791687,71.02670272510191,170.15012488975728,251.110401364558,"(1008.0, 819.0)","(1071.0, 609.0)",125,135,0.2,0.72,0.92,0.7826086956521738,110.74683968402891,41.74206511422261,156.07988339308818,136.31614651451642,"(1182.0, 1098.0)","(1170.0, 897.0)",126,141,0.3,0.86,1.16,0.7413793103448276,143.05604670897347,54.54990834089458,160.72050273689416,157.06565938645466,"(996.0, 1131.0)","(1029.0, 873.0)",82,95,0.26,0.22,0.48,0.45833333333333337,75.91793266416045,3.6895121628746534,203.27839285078974,126.11456225392848,"(1164.0, 372.0)","(1161.0, 234.0)",111,121,0.2,0.42,0.62,0.6774193548387096,148.9210696980115,54.45,120.46130083973027,340.9049538581633,"(1092.0, 663.0)","(1047.0, 396.0)"
08082019-Bear18,2,414.0941197360813,39.66869042456532,153,161,0.16,0.54,0.7,0.7714285714285716,74.70692738963369,55.0714535853195,109.34907407015389,130.9222584402746,"(1023.0, 1524.0)","(1116.0, 1425.0)",124,135,0.22,0.68,0.9,0.7555555555555555,104.15931307377176,47.96365811737049,150.15,139.34539421483902,"(1002.0, 1377.0)","(990.0, 1188.0)",145,152,0.14,0.8,0.94,0.8510638297872342,104.27686704154475,49.22423183758179,193.12754852687385,108.56049386599693,"(1137.0, 1398.0)","(1152.0, 1209.0)",119,125,0.12,0.62,0.74,0.8378378378378378,99.12367275277889,58.03216780372762,144.64581743002458,236.51957297503353,"(993.0, 1128.0)","(1002.0, 948.0)",171,180,0.18,0.88,1.06,0.830188679245283,114.55326272088458,54.47499426342329,168.08147577886152,126.62184761181946,"(1116.0, 1374.0)","(1158.0, 1170.0)",184,196,0.24,0.48,0.72,0.6666666666666666,109.21205290626122,18.22484567835898,89.84549237440909,110.76125475795025,"(900.0, 1407.0)","(990.0, 1230.0)",106,130,0.48,0.34,0.82,0.41463414634146345,200.08588780821103,56.124259460593336,95.8279317318286,344.2971107142246,"(1185.0, 741.0)","(1161.0, 378.0)",142,150,0.16,0.42,0.58,0.7241379310344828,66.02062177835045,10.565154991764201,81.25307686481787,123.15179433157607,"(1089.0, 882.0)","(1092.0, 762.0)"
08082019-Bear18,2,414.0941197360813,39.66869042456532,188,191,0.06,0.86,0.92,0.9347826086956521,57.39533953205609,45.30744971856174,150.19139053937477,129.19269332476438,"(1005.0, 1722.0)","(1038.0, 1623.0)",169,178,0.18,0.98,1.16,0.8448275862068966,109.37396856656524,51.22977649765808,170.48580586078128,125.53557232807921,"(897.0, 1629.0)","(936.0, 1434.0)",192,225,0.66,0.26,0.92,0.2826086956521739,152.74758590563715,25.1320512493509,197.065694978273,169.62360512303067,"(1017.0, 1728.0)","(1068.0, 1455.0)",156,169,0.26,0.74,1.0,0.74,95.92731623474099,66.51362642346304,152.98801423641004,138.88452937602517,"(942.0, 1386.0)","(1020.0, 1230.0)",,,,,,,,,,,,,,,,,,,,,,,,,147,157,0.2,0.28,0.48,0.5833333333333334,39.737262110014576,0.0,115.65311279857539,70.86587794030356,"(1176.0, 915.0)","(1182.0, 843.0)",171,179,0.16,0.34,0.5,0.68,73.27189092687591,23.796638418062333,90.32902357492857,172.6754759657549,"(1056.0, 1026.0)","(1074.0, 894.0)"
08082019-Bear18,2,414.0941197360813,39.66869042456532,234,,,,,,,,,,,"(990.0, 1803.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,192,0.42,0.26,0.68,0.38235294117647056,115.65311279857539,35.00178566873411,85.67298290593132,163.13391128266565,"(1125.0, 1119.0)","(1176.0, 915.0)",196,,,,,,,,,,,"(1032.0, 1062.0)"
