Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1026,387,-1.000,-1.000,115
1,2,1026,387,0.000,0.000,105
1,3,1026,387,0.000,0.000,105
1,4,1026,387,0.000,0.000,101
1,5,1026,387,0.000,0.000,89
1,6,1026,387,0.000,0.000,95
1,7,1026,387,0.000,0.000,88
1,8,1026,387,0.000,0.000,91
1,9,1026,387,0.000,0.000,96
1,10,1026,387,0.000,0.000,96
1,11,1026,387,0.000,0.000,89
1,12,1026,387,0.000,0.000,86
1,13,1026,387,0.000,0.000,91
1,14,1062,387,4.644,2.322,132
1,15,1062,387,0.000,0.000,122
1,16,1062,387,0.000,0.000,105
1,17,1062,387,0.000,0.000,105
1,18,1062,387,0.000,0.000,97
1,19,1095,390,4.275,2.137,118
1,20,1095,390,0.000,0.000,115
1,21,1095,390,0.000,0.000,122
1,22,1095,390,0.000,0.000,123
1,23,1095,390,0.000,0.000,120
1,24,1095,390,0.000,0.000,120
1,25,1095,390,0.000,0.000,115
1,26,1095,390,0.000,0.000,117
1,27,1095,390,0.000,0.000,109
1,28,1095,390,0.000,0.000,104
1,29,1095,390,0.000,0.000,110
1,30,1095,390,0.000,0.000,108
1,31,1095,390,0.000,0.000,108
1,32,1095,390,0.000,0.000,98
1,33,1104,393,1.224,0.612,117
1,34,1104,393,0.000,0.000,112
1,35,1104,393,0.000,0.000,106
1,36,1104,393,0.000,0.000,104
1,37,1104,393,0.000,0.000,124
1,38,1104,393,0.000,0.000,117
1,39,1104,393,0.000,0.000,117
1,40,1128,393,3.096,1.548,103
1,41,1128,393,0.000,0.000,106
1,42,1146,384,2.596,1.298,115
1,43,1146,384,0.000,0.000,110
1,44,1146,384,0.000,0.000,109
1,45,1146,384,0.000,0.000,110
1,46,1146,384,0.000,0.000,110
1,47,1146,384,0.000,0.000,111
1,48,1146,384,0.000,0.000,104
1,49,1167,378,2.817,1.409,116
1,50,1167,378,0.000,0.000,111
1,51,1167,378,0.000,0.000,110
1,52,1167,378,0.000,0.000,113
1,53,1167,378,0.000,0.000,113
1,54,1167,378,0.000,0.000,120
1,55,1167,378,0.000,0.000,119
1,56,1167,378,0.000,0.000,123
1,57,1167,378,0.000,0.000,123
1,58,1167,378,0.000,0.000,120
1,59,1167,378,0.000,0.000,115
1,60,1167,378,0.000,0.000,115
1,61,1164,402,3.120,1.560,96
1,62,1164,402,0.000,0.000,98
1,63,1164,402,0.000,0.000,102
1,64,1164,402,0.000,0.000,100
1,65,1164,402,0.000,0.000,95
1,66,1164,402,0.000,0.000,97
1,67,1164,402,0.000,0.000,97
1,68,1164,402,0.000,0.000,95
1,69,1146,396,2.448,1.224,134
1,70,1146,396,0.000,0.000,137
1,71,1146,396,0.000,0.000,132
1,72,1146,396,0.000,0.000,129
1,73,1146,396,0.000,0.000,122
1,74,1146,396,0.000,0.000,122
1,75,1146,396,0.000,0.000,119
1,76,1146,396,0.000,0.000,123
1,77,1146,396,0.000,0.000,101
1,78,1146,396,0.000,0.000,84
1,79,1146,396,0.000,0.000,85
1,80,1152,357,5.090,2.545,115
1,81,1152,357,0.000,0.000,115
1,82,1152,357,0.000,0.000,115
1,83,1152,357,0.000,0.000,120
1,84,1152,357,0.000,0.000,120
1,85,1152,357,0.000,0.000,112
1,86,1152,357,0.000,0.000,112
1,87,1152,369,1.548,0.774,110
1,88,1152,369,0.000,0.000,101
1,89,1152,369,0.000,0.000,101
1,90,1152,369,0.000,0.000,94
1,91,1152,369,0.000,0.000,96
1,92,1152,369,0.000,0.000,101
1,93,1152,369,0.000,0.000,104
1,94,1152,369,0.000,0.000,102
1,95,1152,369,0.000,0.000,106
1,96,1152,369,0.000,0.000,106
1,97,1152,369,0.000,0.000,101
1,98,1152,369,0.000,0.000,94
1,99,1152,369,0.000,0.000,84
1,100,1152,369,0.000,0.000,94
1,101,1152,369,0.000,0.000,97
1,102,1152,369,0.000,0.000,98
1,103,1152,384,1.935,0.968,111
1,104,1152,384,0.000,0.000,98
1,105,1152,384,0.000,0.000,104
1,106,1152,384,0.000,0.000,103
1,107,1152,384,0.000,0.000,95
1,108,1152,384,0.000,0.000,87
1,109,1152,384,0.000,0.000,76
1,110,1152,384,0.000,0.000,76
1,111,1152,384,0.000,0.000,76
1,112,1146,420,4.708,2.354,101
1,113,1146,420,0.000,0.000,99
1,114,1146,420,0.000,0.000,103
1,115,1146,420,0.000,0.000,103
1,116,1146,420,0.000,0.000,103
1,117,1146,420,0.000,0.000,96
1,118,1146,420,0.000,0.000,96
1,119,1146,420,0.000,0.000,93
1,120,1146,420,0.000,0.000,82
1,121,1146,420,0.000,0.000,84
1,122,1146,420,0.000,0.000,91
1,123,1146,420,0.000,0.000,91
1,124,1146,420,0.000,0.000,94
1,125,1146,420,0.000,0.000,94
1,126,1146,420,0.000,0.000,88
1,127,1146,420,0.000,0.000,108
1,128,1146,420,0.000,0.000,119
1,129,1146,420,0.000,0.000,120
1,130,1146,420,0.000,0.000,105
1,131,1146,420,0.000,0.000,101
1,132,1146,420,0.000,0.000,101
1,133,1146,420,0.000,0.000,97
1,134,1146,420,0.000,0.000,101
1,135,1146,420,0.000,0.000,102
1,136,1155,399,2.947,1.474,122
1,137,1155,399,0.000,0.000,126
1,138,1155,399,0.000,0.000,119
1,139,1155,399,0.000,0.000,119
1,140,1155,399,0.000,0.000,119
1,141,1155,399,0.000,0.000,119
1,142,1155,399,0.000,0.000,116
1,143,1155,399,0.000,0.000,126
1,144,1155,399,0.000,0.000,130
1,145,1155,399,0.000,0.000,129
1,146,1155,399,0.000,0.000,129
1,147,1155,399,0.000,0.000,125
1,148,1155,399,0.000,0.000,109
1,149,1155,399,0.000,0.000,113
1,150,1155,399,0.000,0.000,108
1,151,1155,399,0.000,0.000,103
1,152,1155,399,0.000,0.000,105
1,153,1155,399,0.000,0.000,105
1,154,1155,399,0.000,0.000,105
1,155,1155,399,0.000,0.000,112
1,156,1155,399,0.000,0.000,106
1,157,1155,399,0.000,0.000,101
1,158,1155,399,0.000,0.000,103
1,159,1155,399,0.000,0.000,104
1,160,1170,393,2.084,1.042,119
1,161,1170,393,0.000,0.000,110
1,162,1170,393,0.000,0.000,108
1,163,1170,393,0.000,0.000,103
1,164,1170,393,0.000,0.000,112
1,165,1170,393,0.000,0.000,107
1,166,1170,393,0.000,0.000,105
1,167,1170,393,0.000,0.000,101
1,168,1170,393,0.000,0.000,101
1,169,1170,393,0.000,0.000,99
1,170,1170,393,0.000,0.000,99
1,171,1170,393,0.000,0.000,99
1,172,1170,393,0.000,0.000,101
1,173,1170,393,0.000,0.000,103
1,174,1170,393,0.000,0.000,106
1,175,1170,393,0.000,0.000,106
1,176,1170,393,0.000,0.000,104
1,177,1170,393,0.000,0.000,96
1,178,1170,393,0.000,0.000,108
1,179,1170,393,0.000,0.000,110
1,180,1170,393,0.000,0.000,103
1,181,1170,393,0.000,0.000,99
1,182,1170,393,0.000,0.000,99
1,183,1170,393,0.000,0.000,98
1,184,1170,393,0.000,0.000,103
1,185,1170,393,0.000,0.000,101
1,186,1170,393,0.000,0.000,94
1,187,1170,393,0.000,0.000,97
1,188,1170,393,0.000,0.000,94
1,189,1185,390,1.973,0.987,110
1,190,1185,390,0.000,0.000,112
1,191,1185,390,0.000,0.000,110
1,192,1185,390,0.000,0.000,107
1,193,1185,390,0.000,0.000,111
1,194,1185,390,0.000,0.000,113
1,195,1185,390,0.000,0.000,109
1,196,1191,387,0.865,0.433,107
1,197,1191,387,0.000,0.000,106
1,198,1191,387,0.000,0.000,103
1,199,1191,387,0.000,0.000,106
1,200,1191,387,0.000,0.000,103
1,201,1203,399,2.189,1.095,99
1,202,1203,399,0.000,0.000,106
1,203,1203,399,0.000,0.000,106
1,204,1203,399,0.000,0.000,98
1,205,1203,399,0.000,0.000,99
1,206,1203,399,0.000,0.000,99
1,207,1203,399,0.000,0.000,101
1,208,1203,399,0.000,0.000,101
1,209,1203,399,0.000,0.000,113
1,210,1203,399,0.000,0.000,116
1,211,1203,399,0.000,0.000,116
1,212,1209,405,1.095,0.547,106
1,213,1209,405,0.000,0.000,106
1,214,1209,405,0.000,0.000,110
1,215,1209,405,0.000,0.000,115
1,216,1209,405,0.000,0.000,119
1,217,1209,405,0.000,0.000,119
1,218,1209,405,0.000,0.000,119
1,219,1209,405,0.000,0.000,127
1,220,1209,405,0.000,0.000,127
1,221,1209,405,0.000,0.000,127
1,222,1221,414,1.935,0.968,127
1,223,1221,414,0.000,0.000,122
1,224,1221,414,0.000,0.000,112
1,225,1221,414,0.000,0.000,101
1,226,1221,414,0.000,0.000,96
1,227,1239,414,2.322,1.161,115
1,228,1239,414,0.000,0.000,119
1,229,1239,414,0.000,0.000,122
1,230,1239,414,0.000,0.000,120
1,231,1239,414,0.000,0.000,103
1,232,1239,414,0.000,0.000,97
1,233,1239,414,0.000,0.000,94
1,234,1239,414,0.000,0.000,98
1,235,1257,441,4.186,2.093,108
1,236,1257,441,0.000,0.000,105
1,237,1257,441,0.000,0.000,120
1,238,1257,441,0.000,0.000,105
1,239,1257,441,0.000,0.000,116
1,240,1257,441,0.000,0.000,116
1,241,1257,441,0.000,0.000,113
1,242,1257,441,0.000,0.000,116
1,243,1257,441,0.000,0.000,110
1,244,1245,411,4.168,2.084,113
1,245,1245,411,0.000,0.000,108
1,246,1245,411,0.000,0.000,103
1,247,1245,411,0.000,0.000,94
1,248,1245,411,0.000,0.000,95
1,249,1245,411,0.000,0.000,104
1,250,1269,432,4.114,2.057,112
